"","state","district","year","pvi"
"1","AL",1,1998,-12.33
"2","AL",1,2000,-12.33
"3","AL",1,2002,-11.99
"4","AL",1,2004,-11.99
"5","AL",1,2006,-13.14
"6","AL",1,2008,-13.14
"7","AL",1,2010,-14.66
"8","AL",1,2012,-14.63
"9","AL",1,2014,-14.46
"10","AL",1,2016,-14.46
"11","AL",1,2018,-15.72
"12","AL",1,2020,-15.72
"13","AL",1,2022,-16.47
"14","AL",1,2024,-16.47
"15","AL",2,1998,-14.36
"16","AL",2,2000,-14.36
"17","AL",2,2002,-12.16
"18","AL",2,2004,-12.16
"19","AL",2,2006,-14.84
"20","AL",2,2008,-14.84
"21","AL",2,2010,-16.38
"22","AL",2,2012,-18.21
"23","AL",2,2014,-16.06
"24","AL",2,2016,-16.06
"25","AL",2,2018,-16.88
"26","AL",2,2020,-16.88
"27","AL",2,2022,-17.32
"28","AL",2,2024,-17.32
"29","AL",3,1998,-7.36
"30","AL",3,2000,-7.36
"31","AL",3,2002,-2.81
"32","AL",3,2004,-2.81
"33","AL",3,2006,-6.21
"34","AL",3,2008,-6.21
"35","AL",3,2010,-9.35
"36","AL",3,2012,-15.91
"37","AL",3,2014,-15.34
"38","AL",3,2016,-15.34
"39","AL",3,2018,-17.32
"40","AL",3,2020,-17.32
"41","AL",3,2022,-19.36
"42","AL",3,2024,-19.36
"43","AL",4,1998,-6.01
"44","AL",4,2000,-6.01
"45","AL",4,2002,-12.14
"46","AL",4,2004,-12.14
"47","AL",4,2006,-18.4
"48","AL",4,2008,-18.4
"49","AL",4,2010,-28.39
"50","AL",4,2012,-25.14
"51","AL",4,2014,-27.71
"52","AL",4,2016,-27.71
"53","AL",4,2018,-31.9
"54","AL",4,2020,-31.9
"55","AL",4,2022,-33.24
"56","AL",4,2024,-33.24
"57","AL",5,1998,-6.95
"58","AL",5,2000,-6.95
"59","AL",5,2002,-5.49
"60","AL",5,2004,-5.49
"61","AL",5,2006,-8.11
"62","AL",5,2008,-8.11
"63","AL",5,2010,-13.82
"64","AL",5,2012,-15.45
"65","AL",5,2014,-16.73
"66","AL",5,2016,-16.73
"67","AL",5,2018,-18.02
"68","AL",5,2020,-18.02
"69","AL",5,2022,-16.67
"70","AL",5,2024,-16.67
"71","AL",6,1998,-25.73
"72","AL",6,2000,-25.73
"73","AL",6,2002,-24.98
"74","AL",6,2004,-24.98
"75","AL",6,2006,-26.41
"76","AL",6,2008,-26.41
"77","AL",6,2010,-30.09
"78","AL",6,2012,-27.94
"79","AL",6,2014,-27.43
"80","AL",6,2016,-27.43
"81","AL",6,2018,-24.82
"82","AL",6,2020,-24.82
"83","AL",6,2022,-18.39
"84","AL",6,2024,-18.39
"85","AL",7,1998,18.82
"86","AL",7,2000,18.82
"87","AL",7,2002,16.58
"88","AL",7,2004,16.58
"89","AL",7,2006,15.97
"90","AL",7,2008,15.97
"91","AL",7,2010,19.21
"92","AL",7,2012,17.78
"93","AL",7,2014,20.25
"94","AL",7,2016,20.25
"95","AL",7,2018,20.17
"96","AL",7,2020,20.17
"97","AL",7,2022,14.11
"98","AL",7,2024,14.11
"99","AK",1,1998,-12.92
"100","AK",1,2000,-12.92
"101","AK",1,2002,-18.2
"102","AK",1,2004,-18.2
"103","AK",1,2006,-13.54
"104","AK",1,2008,-13.54
"105","AK",1,2010,-14.06
"106","AK",1,2012,-14.06
"107","AK",1,2014,-10.65
"108","AK",1,2016,-10.65
"109","AK",1,2018,-9.44
"110","AK",1,2020,-9.44
"111","AK",1,2022,-8.02
"112","AK",1,2024,-8.02
"113","AZ",1,1998,-6.84
"114","AZ",1,2000,-6.84
"115","AZ",1,2002,-2.88
"116","AZ",1,2004,-2.88
"117","AZ",1,2006,-2.93
"118","AZ",1,2008,-2.93
"119","AZ",1,2010,-7.37
"120","AZ",1,2012,-3.91
"121","AZ",1,2014,-3.76
"122","AZ",1,2016,-3.76
"123","AZ",1,2018,-2.07
"124","AZ",1,2020,-2.07
"125","AZ",1,2022,-2.01
"126","AZ",1,2024,-2.01
"127","AZ",2,1998,12.17
"128","AZ",2,2000,12.17
"129","AZ",2,2002,-8.32
"130","AZ",2,2004,-8.32
"131","AZ",2,2006,-10.01
"132","AZ",2,2008,-10.01
"133","AZ",2,2010,-14.02
"134","AZ",2,2012,-2.91
"135","AZ",2,2014,-3.11
"136","AZ",2,2016,-3.11
"137","AZ",2,2018,0.42
"138","AZ",2,2020,0.42
"139","AZ",2,2022,-6.35
"140","AZ",2,2024,-6.35
"141","AZ",3,1998,-9.21
"142","AZ",3,2000,-9.21
"143","AZ",3,2002,-6.39
"144","AZ",3,2004,-6.39
"145","AZ",3,2006,-6.85
"146","AZ",3,2008,-6.85
"147","AZ",3,2010,-9.88
"148","AZ",3,2012,5.83
"149","AZ",3,2014,9.15
"150","AZ",3,2016,9.15
"151","AZ",3,2018,13.6
"152","AZ",3,2020,13.6
"153","AZ",3,2022,24.02
"154","AZ",3,2024,24.02
"155","AZ",4,1998,-9.58
"156","AZ",4,2000,-9.58
"157","AZ",4,2002,14.19
"158","AZ",4,2004,14.19
"159","AZ",4,2006,13.5
"160","AZ",4,2008,13.5
"161","AZ",4,2010,12.97
"162","AZ",4,2012,-17.33
"163","AZ",4,2014,-19.99
"164","AZ",4,2016,-19.99
"165","AZ",4,2018,-21.74
"166","AZ",4,2020,-21.74
"167","AZ",4,2022,2.27
"168","AZ",4,2024,2.27
"169","AZ",5,1998,-2.14
"170","AZ",5,2000,-2.14
