"","state","year","absenteeexcusereq","pollhours","avgpollhours","maxpollhours","minpollhours","regdeadlines","voteridlaws","novoterid","noallmailvote","noearlyvote","nofelonreg","nofelonsregafterincar","nonstrictid","nonstrictphoto","noonlineregistration","nopermanentabsentee","nopollplacereg","nopr","nosamedayreg","nostateholiday","pr16","pr17","pr175","pr60","pr90","strictid","strictphoto","covi_num"
"1","AL",2000,1,9,11,12,10,10,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.0004922
"2","AL",2002,1,9,11,12,10,10,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.0004922
"3","AK",2000,0,7,13,13,13,30,1,0,1,0,1,1,1,0,NA,NA,1,0,1,1,0,0,0,0,1,0,0,0.5715845
"4","AK",2002,0,7,13,13,13,30,1,0,1,0,1,1,1,0,NA,NA,1,0,1,1,0,0,0,0,1,0,0,0.5715845
"5","AZ",2000,0,7,13,13,13,29,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2562112
"6","AZ",2002,0,7,13,13,13,29,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.2562112
"7","AR",2000,1,8,12,12,12,30,2,0,1,1,1,1,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1.376693
"8","AR",2002,1,8,12,12,12,30,2,0,1,1,1,1,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1.376693
"9","CA",2000,0,7,13,13,13,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.0232821
"10","CA",2002,0,7,13,13,13,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.0232821
"11","CO",2000,0,8,12,12,12,29,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1177292
"12","CO",2002,0,8,12,12,12,29,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,-0.1177292
"13","CT",2000,1,6,14,14,14,14,1,0,1,1,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0,0.2035981
