state,district,electoral_votes
AL,0,9
AK,0,3
AZ,0,11
AR,0,6
CA,0,54
CO,0,10
CT,0,7
DC,0,3
DE,0,3
FL,0,30
GA,0,16
HI,0,4
ID,0,4
IL,0,19
IN,0,11
IA,0,6
KS,0,6
KY,0,8
LA,0,8
ME,0,2
ME,1,1
ME,2,1
MD,0,10
MA,0,11
MI,0,15
MN,0,10
MS,0,6
MO,0,10
MT,0,4
NE,0,2
NE,1,1
NE,2,1
NE,3,1
NV,0,6
NH,0,4
NJ,0,14
NM,0,5
NY,0,28
NC,0,16
ND,0,3
OH,0,17
OK,0,7
OR,0,8
PA,0,19
RI,0,4
SC,0,9
SD,0,3
TN,0,11
TX,0,40
UT,0,6
VT,0,3
VA,0,13
WA,0,12
WV,0,4
WI,0,10
WY,0,3
