"","year","State","final_rating","race","special","District"
"1",2002,"AK","Safe R","Senate",FALSE,0
"2",2002,"AL","Safe R","Senate",FALSE,0
"3",2002,"AR","Leans D","Senate",FALSE,0
"4",2002,"CO","Leans R","Senate",FALSE,0
"5",2002,"DE","Safe D","Senate",FALSE,0
"6",2002,"GA","Leans D","Senate",FALSE,0
"7",2002,"IA","Leans D","Senate",FALSE,0
"8",2002,"ID","Safe R","Senate",FALSE,0
"9",2002,"IL","Safe D","Senate",FALSE,0
"10",2002,"KS","Safe R","Senate",FALSE,0
"11",2002,"KY","Safe R","Senate",FALSE,0
"12",2002,"LA","Leans D","Senate",FALSE,0
"13",2002,"MA","Safe D","Senate",FALSE,0
"14",2002,"ME","Likely R","Senate",FALSE,0
"15",2002,"MI","Safe D","Senate",FALSE,0
"16",2002,"MN","Leans D","Senate",FALSE,0
"17",2002,"MO","Leans R","Senate",FALSE,0
"18",2002,"MS","Safe R","Senate",FALSE,0
"19",2002,"MT","Leans D","Senate",FALSE,0
"20",2002,"NC","Leans R","Senate",FALSE,0
"21",2002,"NE","Safe R","Senate",FALSE,0
"22",2002,"NH","Leans D","Senate",FALSE,0
"23",2002,"NJ","Leans D","Senate",FALSE,0
"24",2002,"NM","Safe R","Senate",FALSE,0
"25",2002,"OK","Likely R","Senate",FALSE,0
"26",2002,"OR","Likely R","Senate",FALSE,0
"27",2002,"RI","Safe D","Senate",FALSE,0
"28",2002,"SC","Leans R","Senate",FALSE,0
"29",2002,"SD","Leans D","Senate",FALSE,0
"30",2002,"TN","Likely R","Senate",FALSE,0
"31",2002,"TX","Leans R","Senate",FALSE,0
"32",2002,"VA","Safe R","Senate",FALSE,0
"33",2002,"WV","Safe D","Senate",FALSE,0
"34",2002,"WY","Safe R","Senate",FALSE,0
"35",2004,"AL","Safe R","Senate",FALSE,0
"36",2004,"AK","Leans D","Senate",FALSE,0
"37",2004,"AR","Safe D","Senate",FALSE,0
"38",2004,"AZ","Safe R","Senate",FALSE,0
"39",2004,"CA","Likely D","Senate",FALSE,0
"40",2004,"CO","Leans D","Senate",FALSE,0
"41",2004,"CT","Safe D","Senate",FALSE,0
"42",2004,"FL","Leans R","Senate",FALSE,0
"43",2004,"GA","Safe R","Senate",FALSE,0
"44",2004,"HI","Safe D","Senate",FALSE,0
"45",2004,"ID","Safe R","Senate",FALSE,0
"46",2004,"IL","Safe D","Senate",FALSE,0
"47",2004,"IN","Safe D","Senate",FALSE,0
"48",2004,"IA","Safe R","Senate",FALSE,0
"49",2004,"KS","Safe R","Senate",FALSE,0
"50",2004,"KY","Leans R","Senate",FALSE,0
"51",2004,"LA","Leans R","Senate",FALSE,0
"52",2004,"MD","Safe D","Senate",FALSE,0
"53",2004,"MO","Likely R","Senate",FALSE,0
"54",2004,"NV","Likely D","Senate",FALSE,0
"55",2004,"NH","Safe R","Senate",FALSE,0
"56",2004,"NY","Safe D","Senate",FALSE,0
"57",2004,"NC","Leans R","Senate",FALSE,0
"58",2004,"ND","Likely D","Senate",FALSE,0
"59",2004,"OH","Safe R","Senate",FALSE,0
"60",2004,"OK","Leans R","Senate",FALSE,0
"61",2004,"OR","Safe D","Senate",FALSE,0
"62",2004,"PA","Likely R","Senate",FALSE,0
"63",2004,"SC","Leans R","Senate",FALSE,0
"64",2004,"SD","Leans R","Senate",FALSE,0
"65",2004,"UT","Safe R","Senate",FALSE,0
"66",2004,"VT","Safe D","Senate",FALSE,0
"67",2004,"WA","Likely D","Senate",FALSE,0
"68",2004,"WI","Leans D","Senate",FALSE,0
"69",2006,"AZ","Leans R","Senate",FALSE,0
"70",2006,"CA","Safe D","Senate",FALSE,0
"71",2006,"DE","Safe D","Senate",FALSE,0
"72",2006,"FL","Safe D","Senate",FALSE,0
"73",2006,"HI","Safe D","Senate",FALSE,0
"74",2006,"IN","Safe R","Senate",FALSE,0
"75",2006,"ME","Safe R","Senate",FALSE,0
"76",2006,"MD","Leans D","Senate",FALSE,0
"77",2006,"MA","Safe D","Senate",FALSE,0
"78",2006,"MI","Likely D","Senate",FALSE,0
"79",2006,"MN","Likely D","Senate",FALSE,0
"80",2006,"MS","Safe R","Senate",FALSE,0
"81",2006,"MO","Toss-up","Senate",FALSE,0
"82",2006,"MT","Leans D","Senate",FALSE,0
"83",2006,"NE","Likely D","Senate",FALSE,0
"84",2006,"NV","Safe R","Senate",FALSE,0
"85",2006,"NJ","Toss-up","Senate",FALSE,0
