state,district,office_type,avg_margin,margins,dem_name,rep_name,ind_name,Past Elections,Voting Regulations,Polls,Demographics,Campaign Finance,Consumer Confidence Index,Gas Prices,Unemployment & Inflation,Expert Ratings,Composition of Congress/Presidency,Other,weird
AL,1,House,0.1317914061,"[1.2036764766743, -4.29195804310806, 3.48365578463412]",Biden,Trump,n/a,-34.08546241,-49.4716304,-15.39565667,-0.3513430071,0.04807283235,0.02300048921,0.1373640681,0.4359671119,-0.214333827,0.2677349469,-0.1825059324,
AL,2,House,-0.4313621461,"[-4.19312248035769, 3.58111231795163, -0.682076275947448]",Biden,Trump,n/a,-0.4775222259,0.5450804479,22.07638735,-0.1310761889,0.2438357524,-0.4638714038,-0.2716508507,-0.1866350807,0.2097177047,-0.4006699816,-0.2713897231,
AL,3,House,-4.20110843,"[-4.78862818463961, -3.64944668591524, -4.16525042032822]",Biden,Trump,Unopposed,41.22238465,45.52296039,-21.43447773,0.4389353498,-0.3865522202,0.1763298377,-0.0735238098,0.1812124953,0.381050038,0.2646277485,-0.4981883442,
AL,4,House,2.863007959,"[4.80206948165026, 3.76572455007915, 0.0212298440200787]",Biden,Trump,Unopposed,26.34191863,6.338396229,-38.72166931,-0.0763352248,0.1462854019,-0.1973423735,-0.3551085187,0.4794907909,0.02553634895,0.3227395994,0.1293386834,
AL,5,House,-0.2410447057,"[4.10245471532167, -0.799121710445828, -4.02646712208718]",Biden,Trump,Unopposed,-3.503512215,39.99763406,-30.76177248,0.2764306303,0.4213752545,-0.09809688978,0.09338180328,0.06306532387,0.3157563178,-0.05567312825,-0.2897249669,
AL,6,House,2.336895507,"[0.916221418747653, 1.683615721123, 4.4108493809572]",Biden,Trump,n/a,-31.99501164,-35.85805606,-44.89928511,0.3426098636,0.250936755,0.3661980568,-0.2639084871,0.1898673949,-0.2842960896,-0.2137772483,0.2288549161,No republican
AL,7,House,0.3829737698,"[-0.0515215092526988, 0.532772223030803, 0.667670595752549]",Biden,Trump,n/a,33.89342147,23.10257294,-22.94832267,0.1318610426,0.3310781477,-0.1659309724,-0.2552429262,-0.04425530664,-0.4587615369,-0.05654079577,0.1852330868,
AK,1,House,0.2992368027,"[0.22012217261392, -0.922192032512049, 1.59978026789747]",Biden,Trump,n/a,24.75787051,48.56085162,-46.34371156,-0.138864388,-0.1809370323,0.1640146072,-0.2880060417,-0.01858986487,-0.4735182583,-0.09266635784,0.4330479638,
AZ,1,House,1.021167139,"[1.18776339288238, -1.52158700714743, 3.39732503130365]",Biden,Trump,"Bryce Beckstrom /
Sarah Wharton",-37.33709022,-19.66990647,-25.82751926,0.4439870911,-0.4359716544,-0.02777334379,0.3414272765,-0.07460207424,-0.2323961489,-0.3031698752,0.2451793939,
AZ,2,House,2.016208784,"[2.95451272701918, 4.11613312133842, -1.0220194956978]",Biden,Trump,David Bies,-30.41202093,19.17490821,-28.44988474,0.2347617875,-0.4204920503,0.3282873224,-0.4374492013,-0.1360204961,-0.1124449368,-0.117809741,0.3425442547,
