"","year","office_type","state","district","receipts_DEM","receipts_REP","individual_contributions_DEM","individual_contributions_REP"
"1",2002,"House","AL",1,619475.57,4207921.11,175548.96,2641528.66
"2",2002,"House","AL",2,NA,1302635.86,NA,237069.44
"3",2002,"House","AL",3,1542622.86,2057448.19,495488.1,761033.37
"4",2002,"House","AL",4,2043,712483.31,0,352550.11
"5",2002,"House","AL",5,940500.42,116488.18,526122.5,20578.9
"6",2002,"House","AL",6,0,1105803.63,0,348000.68
"7",2002,"House","AL",7,2494287.27,0,1515773,0
"8",2002,"House","AR",1,1253602.68,145849,664244.2,79510
"9",2002,"House","AR",2,529946.79,0,297734.29,0
"10",2002,"House","AR",3,920711.42,1595826.48,582880.28,604867.47
"11",2002,"House","AR",4,2055677.73,2546052.7,884693.37,2196686.54
"12",2002,"House","AZ",1,2248471.7,3783248.76,1006577.63,1393729.24
"13",2002,"House","AZ",2,154000.18,1625260.77,47792,731493.12
"14",2002,"House","AZ",3,11696,706703.33,8696,292765.03
"15",2002,"House","AZ",4,837421.77,5720,340756,4720
"16",2002,"House","AZ",5,490017.52,1440761.55,133436.08,844381.93
"17",2002,"House","AZ",6,22363,373430.54,7504,227947
"18",2002,"House","AZ",7,1727234.88,180765.78,994183.76,107215.72
"19",2002,"House","AZ",8,280191.5,873116.8,214134.82,548382.86
"20",2002,"House","CA",1,966193.38,82498,582715.09,24329
"21",2002,"House","CA",2,11852,701750.29,1345,309098.07
"22",2002,"House","CA",3,241054,1027823.35,31428,533102.9
"23",2002,"House","CA",4,8202,1158960.56,3900,694134.85
"24",2002,"House","CA",5,717566.98,31659,199871,3420
"25",2002,"House","CA",6,725844.54,16153.73,443989.81,7168
"26",2002,"House","CA",7,471750.3,0,117987,0
"27",2002,"House","CA",8,1006289.24,7130,435380.44,6895
"28",2002,"House","CA",9,906531.34,NA,672692.47,NA
"29",2002,"House","CA",10,908269.62,7632,353166.32,3100
"30",2002,"House","CA",11,853823.15,1078034.48,200513.61,592520.92
"31",2002,"House","CA",12,354984.07,NA,208966,NA
"32",2002,"House","CA",13,454232.95,49951,53071,40654
"33",2002,"House","CA",14,846660.43,53164,390538,11078
"34",2002,"House","CA",15,1012383.52,103187.92,553152,26420.03
"35",2002,"House","CA",16,552957.67,1965,274350.42,1445
"36",2002,"House","CA",17,609555.73,128607.67,251137.6,-72036
"37",2002,"House","CA",18,2140701.6,1192506.68,1025300.4,820493.18
"38",2002,"House","CA",19,2945,686704.97,2945,366060.79
"39",2002,"House","CA",20,1445163.76,535746.58,394736,84500.74
"40",2002,"House","CA",21,19443.06,1877147.16,8453.9,1126953.24
"41",2002,"House","CA",22,7427,1260852.8,1408,306096
"42",2002,"House","CA",23,1450570.19,1938398.35,897025,733573.1
"43",2002,"House","CA",24,NA,724511.22,NA,463405
"44",2002,"House","CA",25,7238,982512.06,5193,641315
"45",2002,"House","CA",26,64585.51,969377.46,19666.01,446160.48
"46",2002,"House","CA",27,1227247.06,72834.48,590767.26,15369
"47",2002,"House","CA",28,961530.7,6623,669967.03,3599
"48",2002,"House","CA",29,1307463.98,NA,828650.85,NA
"49",2002,"House","CA",30,541316.45,NA,115633.43,NA
"50",2002,"House","CA",31,639716.09,NA,193830,NA
"51",2002,"House","CA",32,1942165.49,1551726,734387.82,321832
"52",2002,"House","CA",33,1455602.58,NA,973453.18,NA
"53",2002,"House","CA",34,451107.37,NA,215766.2,NA
"54",2002,"House","CA",35,240323.55,75223.57,101229.43,59471
"55",2002,"House","CA",36,1375058.99,196610.34,771518.77,148403
"56",2002,"House","CA",37,308690.77,19817,90684,4170
"57",2002,"House","CA",38,425127.92,31619.27,195826,3715
"58",2002,"House","CA",39,1990815.73,218590.55,1156503.2,114977.5
"59",2002,"House","CA",40,12076,1100174.83,2505,705826.34
"60",2002,"House","CA",41,225,784513.69,0,168134
"61",2002,"House","CA",42,6854,542307.92,5254,244155
"62",2002,"House","CA",43,490539.55,6381,169971,6381
"63",2002,"House","CA",44,2233,940365.97,1233,403691
"64",2002,"House","CA",45,314196.47,532151.92,194938.97,276848.5
"65",2002,"House","CA",46,193527.93,542090.14,155607.83,440680.44
"66",2002,"House","CA",47,1444511.05,1132946.45,851152.89,46291
"67",2002,"House","CA",48,11170,780068.29,5099,430274.8
"68",2002,"House","CA",49,86962,677026.01,9332,331938.88
"69",2002,"House","CA",50,19580,796251.96,8150,323633
"70",2002,"House","CA",51,632371.59,227202.24,233930.74,148098.06
"71",2002,"House","CA",52,0,879852.43,0,473870
"72",2002,"House","CA",53,988431.27,822908.95,621437.72,487787.21
"73",2002,"House","CO",1,1086409.26,114741,587833.43,81036
"74",2002,"House","CO",2,1144549.1,39100.3,847464.95,34169.3
"75",2002,"House","CO",3,NA,796731.96,NA,424690
"76",2002,"House","CO",4,1027466.46,1859232.1,611474.56,1117809.81
"77",2002,"House","CO",5,NA,95227.22,NA,28364
"78",2002,"House","CO",6,8466.31,703412.24,7983.31,449508.32
"79",2002,"House","CO",7,1375049.07,3087331,700928.58,1683767.26
"80",2002,"House","CT",1,672803.97,0,366435.88,0
"81",2002,"House","CT",2,1761051.35,2151269.62,1186763.75,1036306.5
"82",2002,"House","CT",3,637970.89,82120,358942,67323
"83",2002,"House","CT",4,118970.87,975552.67,106301,795106.91
"84",2002,"House","CT",5,1910557.44,3413116.96,757141.99,1553814.97
"85",2002,"House","CT",6,6499,NA,4843,NA
"86",2002,"House","FL",1,87111.25,1787179.95,50510.05,932393.28
"87",2002,"House","FL",2,834461.82,39043.19,368507.66,30172.65
"88",2002,"House","FL",3,440528.97,719872.06,126720,87657.9
"89",2002,"House","FL",4,0,529531.14,0,406292
"90",2002,"House","FL",5,1971380.9,1209577.03,642578.98,704085.41
"91",2002,"House","FL",6,59198.6,618197.36,39998.6,149779.6
"92",2002,"House","FL",7,4682711.21,1448768.92,194616.18,735048.14
"93",2002,"House","FL",8,221815.47,1514787.62,89392.22,819851.7
"94",2002,"House","FL",9,459347.51,690562.66,80572.15,217974.91
"95",2002,"House","FL",10,NA,574842.22,NA,152671.1
"96",2002,"House","FL",11,489269.29,3295.17,153729.38,456.79
"97",2002,"House","FL",12,2858,699323.11,1250,371542.28
"98",2002,"House","FL",13,551230.66,3350122.16,360634.78,2862531.91
"99",2002,"House","FL",14,NA,299233.01,NA,250819
"100",2002,"House","FL",15,81187.7,744659.56,37364,454775.34
"101",2002,"House","FL",16,54570.82,1945061.76,34652,1010481.79
"102",2002,"House","FL",17,524367.71,NA,233050.77,NA
"103",2002,"House","FL",18,53660,709899.68,53660,438830.55
"104",2002,"House","FL",19,849324.93,26358.8,527047.47,17135
"105",2002,"House","FL",20,843706.86,NA,349515,NA
"106",2002,"House","FL",21,NA,501881.75,NA,305180
"107",2002,"House","FL",22,1176220.32,1954341.13,901313.12,1030624.76
"108",2002,"House","FL",23,373904.45,13501,185090.89,1000
"109",2002,"House","FL",24,4023634.41,1984882.9,456113.11,1256788.5
"110",2002,"House","FL",25,236857.22,1073881.66,125070,644179.06
"111",2002,"House","GA",1,21818,788610.3,8013,445298.5
"112",2002,"House","GA",2,577577.41,96,160029,0
"113",2002,"House","GA",3,1761150.45,2018826.87,1088992.45,1012901.35
"114",2002,"House","GA",4,3169819.58,144019.91,2495127.58,43560.49
"115",2002,"House","GA",5,333831.42,7608,38195,0
"116",2002,"House","GA",6,0,1034104.16,0,644873.88
"117",2002,"House","GA",7,0,5405089.66,0,4279803.89
"118",2002,"House","GA",8,NA,764044.6,NA,239297.72
"119",2002,"House","GA",9,33928,879654.48,2683,554129.72
"120",2002,"House","GA",10,0,282251.59,0,105341
"121",2002,"House","GA",11,4727245.54,3125188.3,1056651.95,1263102.4
"122",2002,"House","GA",12,1954466.8,1627925.6,851186.03,1154985.37
"123",2002,"House","GA",13,3755165.02,647914.84,2158177.12,128983.19
"124",2002,"House","HI",1,912335.27,14100,415685.36,0
"125",2002,"House","HI",2,846827.59,160364.25,491145.29,118213.7
"126",2002,"House","IA",1,1309470.82,1984687.6,614537.9,692752.98
"127",2002,"House","IA",2,1357256.42,748562.8,708935.64,576540.49
"128",2002,"House","IA",3,1260274.15,1094398.56,401038,694516
"129",2002,"House","IA",4,1441867.55,1513131.39,773950.44,444274
"130",2002,"House","IA",5,91861.5,1752313.08,61566.85,1058573.67
"131",2002,"House","ID",1,478290.94,1030100.26,319561.04,544194.29
"132",2002,"House","ID",2,12468,411595.27,6164,91823.12
"133",2002,"House","IL",1,309733.96,NA,89205,NA
"134",2002,"House","IL",2,768294.68,9250,457944.04,250
"135",2002,"House","IL",3,382937.99,5874,126233.19,2760
"136",2002,"House","IL",4,1301292.04,NA,921607.7,NA
"137",2002,"House","IL",5,4636488.83,242567.36,3527342.16,107167.04
"138",2002,"House","IL",6,0,586334.7,0,373136.84
"139",2002,"House","IL",7,338189.87,50402,108529.4,32690
"140",2002,"House","IL",8,368592.13,789418.14,205488,139910.84
"141",2002,"House","IL",9,861464.09,38101,652837.99,10100
"142",2002,"House","IL",10,501577.24,1748689.58,354411.82,1165975.43
"143",2002,"House","IL",11,36429.25,2055233.9,9585,551109.47
"144",2002,"House","IL",12,779737.84,0,425981,0
"145",2002,"House","IL",13,NA,523807.36,NA,260667
"146",2002,"House","IL",14,18195,3611603.53,10732,1993017.69
"147",2002,"House","IL",15,61507,522099.73,46462,211565
"148",2002,"House","IL",16,75812.1,942166.19,14558,432714.17
"149",2002,"House","IL",17,767668.82,46900,382928.94,40623
"150",2002,"House","IL",18,164,1122132.34,0,616367.06
"151",2002,"House","IL",19,1049398.56,1848116.93,415121.63,644509.34
"152",2002,"House","IL",20,12532,8452,5500,55
"153",2002,"House","IN",1,955406.91,12190,512155,1905
"154",2002,"House","IN",2,1772570.49,1710401.07,1040765.59,808332.44
"155",2002,"House","IN",3,167612.65,718722.32,105521.18,503911.51
"156",2002,"House","IN",4,27809.82,1293218.27,2246,431439.72
"157",2002,"House","IN",5,52881,788319.7,9657,421200.01
"158",2002,"House","IN",6,346307.6,1225883.71,122005.46,778559.59
"159",2002,"House","IN",7,998612.03,1136875.98,460895.58,715119.91
"160",2002,"House","IN",8,413802.51,564190.85,118179.75,543638.14
"161",2002,"House","IN",9,1102731.13,1747254.2,458464.57,378442.96
"162",2002,"House","IN",10,NA,12672,NA,0
"163",2002,"House","KS",1,0,489428.91,0,203318.97
"164",2002,"House","KS",2,40525,425738.33,27024,174654.5
"165",2002,"House","KS",3,1899153.16,2112453.3,920896.77,1083197.32
"166",2002,"House","KS",4,682355.49,979434.97,496639.94,495166.22
"167",2002,"House","KY",1,545503.23,999812.11,239572.99,469978.34
"168",2002,"House","KY",2,6935,476720.98,2755,229174.39
"169",2002,"House","KY",3,1690941.09,3443482.66,952613.36,1903720.32
"170",2002,"House","KY",4,1383054.25,892018.7,642933.53,491871.26
"171",2002,"House","KY",5,NA,869070.67,NA,361370.33
"172",2002,"House","KY",6,36043,1181076.86,0,648237.11
"173",2002,"House","LA",1,NA,2362473.46,NA,1142575.4
"174",2002,"House","LA",2,1213243.75,NA,409333.69,NA
"175",2002,"House","LA",3,NA,2324918.14,NA,605847.86
"176",2002,"House","LA",4,159741.67,1075921.71,39313.7,523148.74
"177",2002,"House","LA",5,111878.05,4401843.77,1650,2375182.55
"178",2002,"House","LA",6,NA,842093.09,NA,196854.73
"179",2002,"House","LA",7,868945.36,0,254544,0
"180",2002,"House","MA",1,553817.78,208774.74,333769.11,184015.74
"181",2002,"House","MA",2,557184.89,0,153322.42,0
"182",2002,"House","MA",3,632017.02,21005,364911,20005
"183",2002,"House","MA",4,442429.53,9318,292983.19,0
"184",2002,"House","MA",5,801776.38,292881.38,646732.1,153048.26
"185",2002,"House","MA",6,747530.89,52944.26,375941.68,21529
"186",2002,"House","MA",7,688473.02,NA,628151.58,NA
"187",2002,"House","MA",8,1031790.13,NA,473642.18,NA
"188",2002,"House","MA",9,4204557.5,326106.43,3424978.21,250269.35
"189",2002,"House","MA",10,594634.24,57439,278365,30885
"190",2002,"House","MA",11,0,NA,0,NA
"191",2002,"House","MD",1,26634,950150.51,150,629043.69
"192",2002,"House","MD",2,2504087.32,1363772.55,1269666.44,843348.63
"193",2002,"House","MD",3,713466.91,37520,181738.87,815
"194",2002,"House","MD",4,784269.39,NA,223730,NA
"195",2002,"House","MD",5,1060010.72,29,258380,0
"196",2002,"House","MD",6,93117.8,188279.22,60451.78,138885.11
"197",2002,"House","MD",7,497199.23,NA,245605.16,NA
"198",2002,"House","MD",8,8087140.04,3812496.17,5563148.72,2357946.38
"199",2002,"House","ME",1,510246.35,219311.93,290555.75,99918.5
"200",2002,"House","ME",2,2422617.67,1794023.04,1401681.69,1101890.21
"201",2002,"House","MI",1,690529.96,21321,167026,6565
"202",2002,"House","MI",2,25238.85,287506.2,11426.12,281862
"203",2002,"House","MI",3,16770,370184.84,2550,235007
"204",2002,"House","MI",4,10362,793621.46,5792,355971.5
"205",2002,"House","MI",5,514067.41,8785.06,155162,2540.06
"206",2002,"House","MI",6,19880.96,1363960.2,12378.41,713045.17
"207",2002,"House","MI",7,51294,125507.13,15994,120588
"208",2002,"House","MI",8,47379,1786510.52,29867,1073758.39
"209",2002,"House","MI",9,2468159.45,2879613,986053.19,2008891.34
"210",2002,"House","MI",10,1558226.68,1653648.16,903092.99,998828.14
"211",2002,"House","MI",11,660775.81,1327900.25,289748.5,741236.77
