,year,state,district,office_type,poll_id,pollster_rating_id,pollster,question_id,methodology,sample_size,population,partisan,days_before_election,pred_margin,actual_margin,bias,error
0,1998,New York,0,Governor,26013,32.0,Blum & Weprin Associates,87909,Live Phone,364.0,lv,NO,21.0,-31.0,-21.160000000000004,-9.839999999999996,9.839999999999996
1,1998,Ohio,0,Governor,26255,346.0,University of Cincinnati (Ohio Poll),87926,Live Phone,540.0,lv,NO,21.0,-15.0,-5.359999999999999,-9.64,9.64
2,1998,Nevada,0,Senate,26026,91.0,FM3 Research,31266,Live Phone,488.0,lv,D,21.0,5.0,0.09000000000000341,4.909999999999997,4.909999999999997
3,1998,New York,0,Senate,26013,32.0,Blum & Weprin Associates,31253,Live Phone,364.0,lv,NO,21.0,-8.0,10.54,-18.54,18.54
4,1998,New York,0,Senate,63632,113.0,Garin-Hart-Yang Research Group,117103,Live Phone,902.0,lv,D,21.0,4.0,10.54,-6.539999999999999,6.539999999999999
5,1998,Ohio,0,Senate,26255,346.0,University of Cincinnati (Ohio Poll),31495,Live Phone,540.0,lv,NO,21.0,-28.0,-12.920000000000002,-15.079999999999998,15.079999999999998
6,1998,Idaho,1,House,64053,113.0,Garin-Hart-Yang Research Group,117875,Live Phone,372.0,lv,D,21.0,2.0,-10.540000000000006,12.540000000000006,12.540000000000006
7,1998,Idaho,2,House,64053,113.0,Garin-Hart-Yang Research Group,117876,Live Phone,400.0,lv,D,21.0,6.0,-7.82,13.82,13.82
10,1998,Arizona,0,Governor,54202,27.0,Behavior Research Center (Rocky Mountain Poll),87738,Live Phone,519.0,lv,NO,20.0,-22.0,-25.42,3.4200000000000017,3.4200000000000017
11,1998,Illinois,0,Governor,54291,373.0,WCIA-TV,87827,Live Phone,401.0,lv,NO,20.0,-26.0,-3.5700000000000003,-22.43,22.43
12,1998,Iowa,0,Governor,54273,329.0,"Drake Research & Strategy, Inc.",87809,Live Phone,408.0,lv,D,20.0,-8.0,5.800000000000004,-13.800000000000004,13.800000000000004
13,1998,Nebraska,0,Governor,54346,197.0,Mason-Dixon Polling & Strategy,87882,Live Phone,828.0,lv,NO,20.0,-20.0,-7.939999999999998,-12.060000000000002,12.060000000000002
14,1998,Wisconsin,0,Governor,26233,313.0,St. Norbert College Strategic Research Institute,87975,Live Phone,415.0,lv,NO,20.0,-35.0,-21.0,-14.0,14.0
15,1998,Arizona,0,Senate,54202,27.0,Behavior Research Center (Rocky Mountain Poll),119959,Live Phone,519.0,lv,NO,20.0,-42.0,-41.59,-0.4099999999999966,0.4099999999999966
16,1998,Illinois,0,Senate,54291,373.0,WCIA-TV,117514,Live Phone,401.0,lv,NO,20.0,-17.0,-2.9100000000000037,-14.089999999999996,14.089999999999996
17,1998,Wisconsin,0,Senate,26233,313.0,St. Norbert College Strategic Research Institute,31473,Live Phone,415.0,lv,NO,20.0,7.0,2.1499999999999986,4.850000000000001,4.850000000000001
18,1998,Montana,1,House,64150,217.0,Moore Information Group,118025,Live Phone,400.0,lv,R,20.0,-15.0,-8.649999999999999,-6.350000000000001,6.350000000000001
19,1998,New York,0,Governor,26285,395.0,Zogby Analytics,87910,Live Phone,706.0,lv,NO,19.0,-32.0,-21.160000000000004,-10.839999999999996,10.839999999999996
20,1998,Wisconsin,0,Governor,26262,366.0,University of Wisconsin-Milwaukee Institute for Survey and Policy Research,87974,Live Phone,269.0,lv,NO,19.0,-24.0,-21.0,-3.0,3.0
