"","year","state_po","district","margin"
"1",2002,"AK",0,-57.2304314414316
"2",2002,"AL",1,-22.7184965890076
"3",2002,"AL",2,-39.229643816668
"4",2002,"AL",3,-2.10679659866573
"5",2002,"AL",5,48.5743271285181
"6",2002,"AR",1,33.6724072184605
"7",2002,"AR",4,21.1246500655573
"8",2002,"AZ",1,-3.57038589019218
"9",2002,"AZ",2,-23.3680791871142
"10",2002,"AZ",3,-37.0296177873657
"11",2002,"AZ",4,39.561038371301
"12",2002,"AZ",5,-24.9163781122653
"13",2002,"AZ",6,-34.3738206566584
"14",2002,"AZ",7,21.9441715309484
"15",2002,"AZ",8,-29.7373620452232
"16",2002,"CA",1,31.6689702833449
"17",2002,"CA",2,-36.4790345559684
"18",2002,"CA",3,-28.0097271673216
"19",2002,"CA",4,-32.8818499295423
"20",2002,"CA",5,44.0628372524282
"21",2002,"CA",6,37.0762014286873
"22",2002,"CA",7,44.2742961207146
"23",2002,"CA",8,67.078240599348
"24",2002,"CA",9,66.2365127578377
"25",2002,"CA",11,-20.6293545494263
"26",2002,"CA",12,43.3696381561968
"27",2002,"CA",13,48.9989566474701
"28",2002,"CA",14,40.0220179638626
"29",2002,"CA",15,34.7544015275669
"30",2002,"CA",16,37.2159353990332
"31",2002,"CA",17,41.0580323652342
"32",2002,"CA",18,7.89557727227103
"33",2002,"CA",19,-37.2656873803881
"34",2002,"CA",20,29.4222281663769
"35",2002,"CA",21,-44.2519203207781
"36",2002,"CA",22,-49.5997808686125
"37",2002,"CA",23,20.4337266215433
"38",2002,"CA",24,-33.4205377122904
"39",2002,"CA",25,-33.8606678677133
"40",2002,"CA",26,-30.2808800909516
"41",2002,"CA",27,23.9257516826979
"42",2002,"CA",28,48.2405202949887
"43",2002,"CA",29,29.1424293036918
"44",2002,"CA",30,40.7423771370688
"45",2002,"CA",31,62.3038829320524
"46",2002,"CA",32,41.3309982486865
"47",2002,"CA",33,68.4514010249137
"48",2002,"CA",34,48.0736509479825
"49",2002,"CA",35,58.1401822133245
"50",2002,"CA",36,26.3441645623335
"51",2002,"CA",37,49.7529076449225
"52",2002,"CA",38,44.8430595158304
"53",2002,"CA",39,13.9817087240157
"54",2002,"CA",40,-38.1705478549787
"55",2002,"CA",41,-37.7553806084127
"56",2002,"CA",42,-38.8210346584415
"57",2002,"CA",43,35.9277143693298
"58",2002,"CA",44,-32.0969924375119
"59",2002,"CA",45,-32.5080691664233
"60",2002,"CA",46,-27.184636768502
"61",2002,"CA",47,25.8699307475277
"62",2002,"CA",48,-40.0035644865747
"63",2002,"CA",50,-31.9859178580321
"64",2002,"CA",51,18.5928181579383
