"","state","district","office_type","rep_name","dem_name","weird"
"1","AL",1,"House","Barry Moore","Tom Holmes",""
"2","AL",2,"House","Unknown","Unknown",""
"3","AL",3,"House","Mike Rogers","Unknown","We are not predicting this race since there is no Democratic candidate in this election."
"4","AL",4,"House","Robert Aderholt","Unknown","We are not predicting this race since there is no Democratic candidate in this election."
"5","AL",5,"House","Dale Strong","Unknown","We are not predicting this race since there is no Democratic candidate in this election."
"6","AL",6,"House","Gary Palmer","Elizabeth Anderson",""
"7","AL",7,"House","Christian Horn","Terri Sewell",""
"8","AK",1,"House","Unknown","Mary Peltola","We are not predicting this race since Alaska uses a ranked choice voting system."
"9","AZ",1,"House","Unknown","Unknown",""
"10","AZ",2,"House","Eli Crane","Jonathan Nez",""
"11","AZ",3,"House","Unknown","Unknown",""
"12","AZ",4,"House","Unknown","Greg Stanton",""
"13","AZ",5,"House","Unknown","Katrina Schaffner",""
"14","AZ",6,"House","Unknown","Unknown",""
"15","AZ",7,"House","Daniel Butierez","Raúl Grijalva",""
"16","AZ",8,"House","Unknown","Unknown",""
"17","AZ",9,"House","Paul Gosar","Unknown",""
"18","AR",1,"House","Rick Crawford","Rodney Govens",""
"19","AR",2,"House","French Hill","Marcus Jones",""
"20","AR",3,"House","Steve Womack","Caitlin Draper",""
"21","AR",4,"House","Bruce Westerman","Risie Howard",""
"22","CA",1,"House","Doug LaMalfa","Rose Yee",""
"23","CA",2,"House","Chris Coulombe","Jared Huffman",""
"24","CA",3,"House","Kevin Kiley","Jessica Morse",""
"25","CA",4,"House","John Munn","Mike Thompson",""
"26","CA",5,"House","Tom McClintock","Mike Barkley",""
"27","CA",6,"House","Chris Bish","Ami Bera",""
"28","CA",7,"House","Tom Silva","Doris Matsui",""
"29","CA",8,"House","Rudy Recile","John Garamendi",""
"30","CA",9,"House","Kevin Lincoln","Josh Harder",""
"31","CA",10,"House","Katherine Piccinini","Mark DeSaulnier",""
"32","CA",11,"House","Bruce Lou","Nancy Pelosi",""
"33","CA",12,"House","Unknown","Unknown","We are not predicting this rance since there is no Republican candidate."
"34","CA",13,"House","John Duarte","Adam Gray",""
"35","CA",14,"House","Vin Kruttiventi","Eric Swalwell",""
"36","CA",15,"House","Anna Cheng Kramer","Kevin Mullin",""
"37","CA",16,"House","Unknown","Unknown","We are not predicting this rance since there is no Republican candidate."
"38","CA",17,"House","Anita Chen","Ro Khanna",""
"39","CA",18,"House","Peter Hernandez","Zoe Lofgren",""
"40","CA",19,"House","Jason Anderson","Jimmy Panetta",""
"41","CA",20,"House","Unknown","Unknown","We are not predicting this race since there is no Democratic candidate in this election."
"42","CA",21,"House","Michael Maher","Jim Costa",""
"43","CA",22,"House","David Valadao","Rudy Salas",""
"44","CA",23,"House","Jay Obernolte","Derek Marshall",""
"45","CA",24,"House","Thomas Cole","Salud Carbajal",""
"46","CA",25,"House","Ian Weeks","Raul Ruiz",""
"47","CA",26,"House","Michael Koslow","Julia Brownley",""
"48","CA",27,"House","Mike Garcia","George Whitesides",""
"49","CA",28,"House","April Verlato","Judy Chu",""
"50","CA",29,"House","Benito Bernal","Luz Rivas",""
"51","CA",30,"House","Alex Balekian","Laura Friedman",""
"52","CA",31,"House","Daniel Martinez","Gil Cisneros",""
"53","CA",32,"House","Larry Thompson","Brad Sherman",""
"54","CA",33,"House","Tom Herman","Pete Aguilar",""
"55","CA",34,"House","Unknown","Unknown","We are not predicting this rance since there is no Republican candidate."
"56","CA",35,"House","Mike Cargile","Norma Torres",""
"57","CA",36,"House","Melissa Toomim","Ted Lieu",""
"58","CA",37,"House","Unknown","Sydney Kamlager-Dove","We are not predicting this rance since there is no Republican candidate."
"59","CA",38,"House","Eric Ching","Linda Sánchez",""
"60","CA",39,"House","David Serpa","Mark Takano",""
"61","CA",40,"House","Young Kim","Joe Kerr",""
"62","CA",41,"House","Ken Calvert","Will Rollins",""
"63","CA",42,"House","John Briscoe","Robert Garcia",""
"64","CA",43,"House","Steve Williams","Maxine Waters",""
"65","CA",44,"House","Roger Groh","Nanette Barragán",""
"66","CA",45,"House","Michelle Steel","Derek Tran",""
"67","CA",46,"House","David Pan","Lou Correa",""
"68","CA",47,"House","Scott Baugh","Dave Min",""
"69","CA",48,"House","Darrell Issa","Stephen Houlahan",""
"70","CA",49,"House","Matt Gunderson","Mike Levin",""
"71","CA",50,"House","Peter Bono","Scott Peters",""
