"","year","state","margin"
"1","2004","AL",-25.6158250103932
"2","2004","AR",-9.75832863324628
"3","2004","AZ",-10.4543321716858
"4","2004","CA",9.94745633483684
"5","2004","CO",-4.67274772316323
"6","2004","CT",10.3664310611622
"7","2004","DE",7.5924001385669
"8","2004","FL",-5.00640620462272
"9","2004","GA",-16.5867196694428
"10","2004","IA",-0.667525821085295
"11","2004","ID",-38.1215044941323
"12","2004","IL",10.3445333826793
"13","2004","IN",-20.6817903713206
"14","2004","KS",-25.3808863099829
"15","2004","KY",-19.8602622713143
"16","2004","LA",-14.5061566378777
"17","2004","MA",25.1577399714598
"18","2004","MD",8.49483083429873
"19","2004","ME",8.99639825474653
"20","2004","MI",3.4186481712463
"21","2004","MN",3.47615089448509
"22","2004","MO",-6.01250517377933
"23","2004","MS",-19.6888138740764
"24","2004","MT",-20.5026140816304
"25","2004","NC",-12.4340511172928
"26","2004","ND",-27.3625224960282
"27","2004","NE",-33.2164803787269
"28","2004","NH",1.36837538989993
"29","2004","NJ",6.68377196103027
"30","2004","NM",-0.791745118365102
"31","2004","NV",-2.59165102635408
"32","2004","NY",18.2862745087429
"33","2004","OH",-2.10737275733718
"34","2004","OK",-31.1408033295121
"35","2004","OR",4.15574629977863
"36","2004","PA",2.50164755502834
"37","2004","RI",20.7519890925895
"38","2004","SC",-17.0779425491275
"39","2004","SD",-21.4674858003941
"40","2004","TN",-14.2991085234229
"41","2004","TX",-22.8615129477186
"42","2004","UT",-45.540306344601
"43","2004","VA",-8.19846502918521
"44","2004","VT",20.1361472131767
"45","2004","WA",7.17426939738541
"46","2004","WI",0.379845625986192
"47","2004","WV",-12.8639598246828
"48","2004","WY",-39.7871239134364
"49","2008","AL",-21.5764787345957
"50","2008","AR",-19.8512447348054
"51","2008","AZ",-8.48167275650458
"52","2008","CA",24.020261085057
"53","2008","CO",8.92041303384599
"54","2008","CT",22.3674135122022
"55","2008","DE",24.9832774298621
"56","2008","FL",2.8071925601813
"57","2008","GA",-5.20416524463157
"58","2008","IA",9.53476071856319
"59","2008","ID",-25.2974391529249
"60","2008","IL",25.1017010480131
"61","2008","IN",1.02990650272903
"62","2008","KS",-14.9240479048296
"63","2008","KY",-16.2225501638523
"64","2008","LA",-18.6298075084113
"65","2008","MA",25.8113233267932
"66","2008","MD",21.3730801271019
"67","2008","ME",17.3104096363788
"68","2008","MI",16.4439191586806
"69","2008","MN",10.2373616541408
"70","2008","MO",-0.112190215736927
"71","2008","MS",-13.1738787648098
"72","2008","MT",-2.3790969051243
"73","2008","NC",0.328872510345554
"74","2008","ND",-8.64989393777263
"75","2008","NE",-14.9335875928669
"76","2008","NH",9.60546858517237
"77","2008","NJ",15.5313847630646
"78","2008","NM",15.1284454284606
"79","2008","NV",12.4925608153346
"80","2008","NY",26.8575836401452
"81","2008","OH",4.58286866564217
"82","2008","OK",-31.290162245387
"83","2008","OR",16.3478245646284
"84","2008","PA",10.3146949634576
"85","2008","RI",27.8061581377208
"86","2008","SC",-8.97708396127163
"87","2008","SD",-8.41154525819753
"88","2008","TN",-15.0554846267192
"89","2008","TX",-11.7546929686981
"90","2008","UT",-27.9834326733375
"91","2008","VA",6.29896918292034
"92","2008","VT",37.0064544710595
"93","2008","WA",17.0844221964647
"94","2008","WI",13.9041240295943
"95","2008","WV",-13.0899160004643
"96","2008","WY",-32.2353902096145
"97","2012","AL",-22.1867892310703
"98","2012","AR",-23.687945782389
"99","2012","AZ",-9.03605760789124
"100","2012","CA",23.088003314998
"101","2012","CO",5.35258042498152
"102","2012","CT",17.3425541132487
"103","2012","DE",18.6267427842511
"104","2012","FL",0.875029070879957
"105","2012","GA",-7.80021026673786
"106","2012","IA",5.81014802361299
"107","2012","ID",-31.690374606771
"108","2012","IL",16.8391402573622
"109","2012","IN",-10.2006233615113
"110","2012","KS",-21.5891223741547
"111","2012","KY",-22.6812632365766
"112","2012","LA",-17.2071121051721
"113","2012","MA",23.1020173938271
"114","2012","MD",21.6217235344736
"115","2012","ME",15.0993755786239
"116","2012","MI",9.46855804755679
"117","2012","MN",7.69410204657761
"118","2012","MO",-7.89210225277222
"119","2012","MS",-11.4964871995918
"120","2012","MT",-13.6411109551605
"121","2012","NC",-2.0420955250754
"122","2012","ND",-19.6313389765891
"123","2012","NE",-21.7758777611191
"124","2012","NH",5.5758876580231
"125","2012","NJ",17.7440744534584
"126","2012","NM",10.1494468310969
"127","2012","NV",6.68093382913694
"128","2012","NY",28.1772344304964
"129","2012","OH",2.97395748188049
"130","2012","OK",-33.5446394860331
"131","2012","OR",12.0894554762557
"132","2012","PA",5.38326018743419
"133","2012","RI",27.429573988818
"134","2012","SC",-10.4730978484999
"135","2012","SD",-18.0231711171887
"136","2012","TN",-20.3836069997042
"137","2012","TX",-15.77216373152
"138","2012","UT",-47.8798778677998
"139","2012","VA",3.87335389982952
"140","2012","VT",35.5979150656554
"141","2012","WA",14.7721616118206
"142","2012","WI",6.94227087823952
"143","2012","WV",-26.6896189514059
"144","2012","WY",-40.8237339446963
"145","2016","AL",-27.7251466064354
"146","2016","AR",-26.9209780344674
"147","2016","AZ",-3.50371074435708
"148","2016","CA",30.1936192656479
"149","2016","CO",4.7774882234609
"150","2016","CT",13.6393867178951
"151","2016","DE",11.4305124663149
"152","2016","FL",-1.1892165732624
"153","2016","GA",-5.1052613635292
"154","2016","IA",-9.4068380510986
"155","2016","ID",-31.7612280988887
"156","2016","IL",16.9577675569794
"157","2016","IN",-18.9067328416911
"158","2016","KS",-21.0279799467024
"159","2016","KY",-29.8374502182523
"160","2016","LA",-19.6391185550548
"161","2016","MA",27.2842500969355
"162","2016","MD",22.7047513841951
"163","2016","ME",2.70177331265592
"164","2016","MI",-0.223035081559704
"165","2016","MN",1.52013048027158
"166","2016","MO",-15.9916335304623
"167","2016","MS",-17.8058666331519
"168","2016","MT",-20.5310146099793
"169","2016","NC",-3.65583401909966
"170","2016","ND",-35.7288883726333
"171","2016","NE",-25.6234822472128
"172","2016","NH",0.367652493143469
"173","2016","NJ",13.9393412549318
"174","2016","NM",8.21326839680428
"175","2016","NV",2.41712836051662
"176","2016","NY",21.2354828361053
"177","2016","OH",-8.07072762095769
"178","2016","OK",-36.3911845350835
"179","2016","OR",10.9319353485434
"180","2016","PA",-0.75742444434786
"181","2016","RI",15.4035227042215
"182","2016","SC",-14.2659128960303
"183","2016","SD",-30.6473358372985
"184","2016","TN",-26.175255410011
"185","2016","TX",-8.99942759832342
"186","2016","UT",-17.9195283481674
"187","2016","VA",5.32370581949366
"188","2016","VT",26.4083512395776
"189","2016","WA",15.8115606241695
"190","2016","WI",-0.74536695803097
"191","2016","WV",-41.6789978817147
"192","2016","WY",-46.2952757290433
"193","2020","AL",-25.4602927554896
"194","2020","AR",-27.6206679031294
"195","2020","AZ",0.308709583901874
"196","2020","CA",29.1714130151362
"197","2020","CO",13.2996980675764
"198","2020","CT",20.0292170061613
"199","2020","DE",18.9807741909883
"200","2020","FL",-3.3583688970618
"201","2020","GA",0.235687662124058
"202","2020","IA",-8.19760939776009
"203","2020","ID",-30.7678218648666
"204","2020","IL",16.9738277983391
"205","2020","IN",-16.0674311403344
"206","2020","KS",-14.7774063829362
"207","2020","KY",-25.9350570581364
"208","2020","LA",-18.6094256124823
"209","2020","MA",33.4581519754629
"210","2020","MD",29.9633025907088
"211","2020","ME",8.6727947501659
"212","2020","MI",2.78352759968675
"213","2020","MN",7.11015690057064
"214","2020","MO",-15.3908740427011
