State,Year,Special Election?,Republican Total %,Democratic Total %,Independent Total %,Margin,Open Seat?,Incumbent Margin,Uncontested?
Alabama,2002,FALSE,58.58,39.83,0,-18.75,FALSE,-6.99,FALSE
Alabama,2004,FALSE,67.55,32.35,0,-35.2,FALSE,-26.55,FALSE
Alabama,2008,FALSE,63.36,36.52,0,-26.84,FALSE,-18.75,FALSE
Alabama,2010,FALSE,65.18,34.71,0,-30.47,FALSE,-35.2,FALSE
Alabama,2014,FALSE,97.25,0,0,-97.25,FALSE,-26.84,TRUE
Alabama,2016,FALSE,63.96,35.87,0,-28.09,FALSE,-30.47,FALSE
Alabama,2017,TRUE,48.34,49.97,0,1.63,TRUE,,FALSE
Alabama,2020,FALSE,60.1,39.74,0,-20.36,FALSE,1.63,FALSE
Alabama,2022,FALSE,66.62,30.88,0,-35.74,TRUE,-28.09,FALSE
Alaska,2002,FALSE,58.58,39.83,0,-18.75,FALSE,-6.99,FALSE
Alaska,2004,FALSE,67.55,32.35,0,-35.2,FALSE,-26.55,FALSE
Alaska,2008,FALSE,63.36,36.52,0,-26.84,FALSE,-18.75,FALSE
Alaska,2010,FALSE,65.18,34.71,0,-30.47,FALSE,-35.2,FALSE
Alaska,2014,FALSE,97.25,0,0,-97.25,FALSE,-26.84,TRUE
Alaska,2016,FALSE,63.96,35.87,0,-28.09,FALSE,-30.47,FALSE
Alaska,2020,TRUE,48.34,49.97,0,1.63,TRUE,,FALSE
Alaska,2022,FALSE,60.1,39.74,0,-20.36,FALSE,1.63,FALSE
Arizona,2004,FALSE,66.62,30.88,0,-35.74,TRUE,-28.09,FALSE
Arizona,2006,FALSE,53.34,43.5,0,-9.84,FALSE,-71.5,FALSE
Arizona,2010,FALSE,59.07,34.78,0,-24.29,FALSE,-35.74,FALSE
Arizona,2012,FALSE,49.23,46.2,0,-3.03,TRUE,,FALSE
Arizona,2016,FALSE,53.71,40.75,0,-12.96,FALSE,-12.96,FALSE
Arizona,2018,FALSE,47.61,49.96,0,2.35,TRUE,,FALSE
Arizona,2020,TRUE,48.81,51.16,0,2.35,FALSE,,FALSE
Arizona,2022,FALSE,46.5,51.4,0,4.9,FALSE,2.35,FALSE
Arkansas,2002,FALSE,46.14,53.86,0,7.72,FALSE,-5.4,FALSE
Arkansas,2004,FALSE,44.07,55.9,0,11.83,FALSE,12.84,FALSE
Arkansas,2008,FALSE,0,79.53,20.47,59.06,FALSE,7.72,FALSE
Arkansas,2010,FALSE,57.9,36.95,0,-20.95,FALSE,11.83,FALSE
Arkansas,2014,FALSE,56.5,39.43,0,-17.07,FALSE,59.06,FALSE
Arkansas,2016,FALSE,59.77,36.17,0,-23.6,FALSE,-20.95,FALSE
Arkansas,2020,FALSE,66.53,0,33.47,R+33.06,FALSE,-17.07,FALSE
Arkansas,2022,FALSE,65.73,31.09,0,-34.64,FALSE,-23.6,FALSE
California,2004,FALSE,37.8,57.71,0,19.91,FALSE,10.05,FALSE
California,2006,FALSE,35.02,59.43,0,24.41,FALSE,19.25,FALSE
California,2010,FALSE,42.17,52.18,0,10.01,FALSE,19.91,FALSE
California,2012,FALSE,37.48,62.52,0,25.04,FALSE,24.41,FALSE
California,2016,FALSE,0,61.6,38.4,Pro+23.2,TRUE,,FALSE
California,2018,FALSE,0,54.16,45.84,Pro+8.32,FALSE,25.04,FALSE
California,2022,TRUE,38.94,61.06,0,22.12,FALSE,,FALSE
California,2022,FALSE,39.11,60.89,0,21.78,FALSE,,FALSE
Colorado,2002,FALSE,50.7,45.77,0,-4.93,FALSE,-5.67,FALSE
Colorado,2004,FALSE,46.53,51.3,0,4.77,TRUE,,FALSE
Colorado,2008,FALSE,42.49,52.8,0,10.31,TRUE,,FALSE
Colorado,2010,FALSE,46.4,48.08,0,1.68,FALSE,4.77,FALSE
Colorado,2014,FALSE,48.21,46.26,0,-1.95,FALSE,10.31,FALSE
Colorado,2016,FALSE,44.31,49.97,0,5.66,FALSE,1.68,FALSE
Colorado,2020,FALSE,44.18,53.5,0,9.32,FALSE,-1.95,FALSE
Colorado,2022,FALSE,41.26,55.88,0,14.62,FALSE,5.66,FALSE
Connecticut,2004,FALSE,32.13,66.35,0,34.22,FALSE,32.76,FALSE
Connecticut,2006,FALSE,9.62,39.73,49.71,I+9.98,FALSE,29.04,FALSE
Connecticut,2010,FALSE,43.22,55.16,0,11.94,TRUE,,FALSE
Connecticut,2012,FALSE,43.07,54.82,0,11.75,TRUE,,FALSE
Connecticut,2016,FALSE,34.62,63.19,0,28.57,FALSE,11.94,FALSE
Connecticut,2018,FALSE,39.35,59.53,0,20.18,FALSE,11.75,FALSE
Connecticut,2022,FALSE,42.54,57.41,0,14.87,FALSE,28.57,FALSE
Delaware,2002,FALSE,40.8,58.22,0,17.42,FALSE,21.91,FALSE
Delaware,2006,FALSE,27.44,67.13,0,39.69,FALSE,11.83,FALSE
Delaware,2008,FALSE,35.31,64.69,0,29.38,FALSE,17.42,FALSE
Delaware,2010,TRUE,40.03,56.61,0,16.58,TRUE,,FALSE
Delaware,2012,FALSE,28.95,66.42,0,37.47,FALSE,39.69,FALSE
Delaware,2014,FALSE,42.23,55.83,0,13.6,FALSE,16.58,FALSE
Delaware,2018,FALSE,37.81,59.95,0,22.14,FALSE,37.47,FALSE
Delaware,2020,FALSE,37.9,59.44,0,21.54,FALSE,13.6,FALSE
Florida,2004,FALSE,49.43,48.32,0,-1.11,TRUE,,FALSE
Florida,2006,FALSE,38.1,60.3,0,22.2,FALSE,4.85,FALSE
