"","election_year","state","election_type","dem_votes","rep_votes","total_votes","margin","sig_third"
"1",1908,"NV","G",12473,8972,23374,14.9781808847437,FALSE
"2",1908,"OR","G",52421,50899,112364,1.35452636075611,FALSE
"3",1910,"NV","G",8624,9779,20362,-5.67233081229742,FALSE
"4",1912,"CO","G",118260,66949,249806,20.5403393032994,FALSE
"5",1912,"CO","S",111633,66627,248383,18.1195975569987,FALSE
"6",1912,"KS","G",172601,151647,350033,5.98629272097202,FALSE
"7",1912,"MN","G",102691,173074,275765,-25.522818341704,FALSE
"8",1912,"MT","G",28421,18450,69032,14.4440259589755,FALSE
"9",1912,"NV","S",7942,7853,19963,0.445824775835295,FALSE
"10",1912,"OK","G",126407,83448,250731,17.1335016412011,FALSE
"11",1912,"OR","G",40172,38453,133578,1.28688855949333,TRUE
"12",1914,"AL","G",63388,12320,81133,62.9435618059236,FALSE
"13",1914,"AZ","G",25800,9182,48463,34.2900769659328,FALSE
"14",1914,"CA","G",279896,254159,886013,2.90481065176245,FALSE
"15",1914,"CO","G",102037,98728,253213,1.30680494287418,FALSE
"16",1914,"CT","G",76081,89983,180814,-7.68856393863307,FALSE
"17",1914,"FL","G",22761,0,22871,99.5190415810415,FALSE
"18",1914,"GA","G",61489,0,89924,68.3788532538588,FALSE
"19",1914,"GA","S",62239,0,90402,68.8469281653061,FALSE
"20",1914,"IA","G",167251,205832,427102,-9.03320518283689,FALSE
"21",1914,"ID","G",20902,24044,108198,-2.90393537773341,TRUE
"22",1914,"IL","G",373403,390661,1015816,-1.69892972743095,FALSE
"23",1914,"IN","G",272249,226766,646059,7.04006909585657,FALSE
"24",1914,"KS","G",176929,180823,508894,-0.765188821247647,FALSE
"25",1914,"KY","G",175999,144758,334865,9.32943126334493,FALSE
"26",1914,"MD","G",156361,129031,301124,9.07599527105113,FALSE
"27",1914,"MO","G",311616,257054,618225,8.8255893889765,FALSE
"28",1914,"NC","G",121341,87101,208867,16.3932071605376,FALSE
"29",1914,"ND","G",29640,48732,87310,-21.8669110067575,FALSE
"30",1914,"NH","G",36382,42113,81528,-7.02948680208027,FALSE
"31",1914,"NV","G",8078,8038,21567,0.18546853989892,FALSE
"32",1914,"OH","G",423742,526115,1070171,-9.56604131489267,FALSE
"33",1914,"OK","G",119443,73292,248995,18.5349103395651,FALSE
"34",1914,"OR","G",111748,88297,245580,9.54923039335451,FALSE
"35",1914,"PA","G",266415,499336,1111862,-20.9487328463424,FALSE
"36",1914,"SC","G",32950,0,33029,99.7608162523843,FALSE
"37",1914,"SD","G",47668,44244,99096,3.45523532735933,FALSE
"38",1914,"UT","G",0,56282,114666,-49.0834249036332,TRUE
"39",1914,"VT","G",0,35137,61913,-56.752216820377,TRUE
"40",1914,"WA","G",91733,130479,345279,-11.2216497383276,FALSE
"41",1914,"WI","G",134925,133969,308002,0.310387594885748,FALSE
"42",1916,"AR","S",110294,48922,159216,38.5463772485177,FALSE
"43",1916,"AZ","G",29882,21261,53970,15.9736890865296,FALSE
"44",1916,"CA","G",277852,574667,940657,-31.5540095911687,FALSE
"45",1916,"CT","G",98649,107020,213344,-3.92371006449678,FALSE
"46",1916,"DE","G",25434,22925,51210,4.89943370435462,FALSE
"47",1916,"FL","G",58391,8774,70469,70.4096836907009,FALSE
"48",1916,"IN","G",325587,337086,705663,-1.62953137687536,FALSE
"49",1916,"IN","S",325607,335193,703309,-1.36298554404963,FALSE
"50",1916,"MA","G",234199,267157,516940,-6.37559484659728,FALSE
"51",1916,"MD","G",152476,165158,327435,-3.87313512605555,FALSE
"52",1916,"ME","G",69486,79841,151116,-6.8523518356759,FALSE
"53",1916,"ME","S",68201,81369,149918,-8.78346829600181,FALSE
"54",1916,"MI","G",257954,364657,647278,-16.484879758002,FALSE
"55",1916,"MN","G",117541,185159,381125,-17.7416857986225,FALSE
"56",1916,"MO","G",470889,454882,945143,1.69360615271975,FALSE
"57",1916,"MS","G",74290,0,74290,100,FALSE
"58",1916,"MT","G",85585,72753,167630,7.65495436377737,FALSE
