poll_id,pollster_rating_id,methodology,state,seat_number,question_id,sample_size,population_full,cycle,office_type,party,pct,answer
88053,555,,,0,207921,2701,lv,2024,U.S. President,DEM,50,Harris
88053,555,,,0,207921,2701,lv,2024,U.S. President,REP,48,Trump
88063,88,Online Panel/Text-to-Web,California,0,207931,815,lv,2024,U.S. President,DEM,60.8,Harris
88063,88,Online Panel/Text-to-Web,California,0,207931,815,lv,2024,U.S. President,REP,38,Trump
88064,88,Online Panel/Text-to-Web,Florida,0,207932,815,lv,2024,U.S. President,DEM,47.6,Harris
88064,88,Online Panel/Text-to-Web,Florida,0,207932,815,lv,2024,U.S. President,REP,51.1,Trump
88065,88,Online Panel/Text-to-Web,Texas,0,207933,845,lv,2024,U.S. President,DEM,48,Harris
88065,88,Online Panel/Text-to-Web,Texas,0,207933,845,lv,2024,U.S. President,REP,50.9,Trump
88066,88,Online Panel/Text-to-Web,Ohio,0,207934,945,lv,2024,U.S. President,DEM,44.7,Harris
88066,88,Online Panel/Text-to-Web,Ohio,0,207934,945,lv,2024,U.S. President,REP,54.3,Trump
88038,862,Online Panel,,0,207864,1890,lv,2024,U.S. President,DEM,52,Harris
88038,862,Online Panel,,0,207864,1890,lv,2024,U.S. President,REP,48,Trump
88035,88,IVR/Online Panel/Text-to-Web,,0,207867,1000,lv,2024,U.S. President,DEM,51.3,Harris
88035,88,IVR/Online Panel/Text-to-Web,,0,207867,1000,lv,2024,U.S. President,REP,47.6,Trump
88042,218,Online Panel,,0,207902,11414,lv,2024,U.S. President,DEM,49,Harris
88042,218,Online Panel,,0,207902,11414,lv,2024,U.S. President,REP,46,Trump
88027,251,Online Panel,,0,207759,3047,lv,2024,U.S. President,DEM,50,Harris
88027,251,Online Panel,,0,207759,3047,lv,2024,U.S. President,REP,50,Trump
88008,721,App Panel,,0,207634,1000,lv,2024,U.S. President,DEM,50.8,Harris
88008,721,App Panel,,0,207634,1000,lv,2024,U.S. President,REP,49.2,Trump
88002,851,Online Panel,Ohio,0,207631,600,lv,2024,U.S. President,DEM,43,Harris
88002,851,Online Panel,Ohio,0,207631,600,lv,2024,U.S. President,REP,52,Trump
88037,67,Live Phone/Text-to-Web,Alaska,0,207868,400,lv,2024,U.S. President,DEM,43.1,Harris
88037,67,Live Phone/Text-to-Web,Alaska,0,207868,400,lv,2024,U.S. President,REP,53,Trump
88030,203,Online Panel,,0,207792,1778,lv,2024,U.S. President,DEM,47.3,Harris
88030,203,Online Panel,,0,207792,1778,lv,2024,U.S. President,REP,48.8,Trump
88030,203,Online Panel,,0,207794,1778,lv,2024,U.S. President,DEM,46.6,Harris
88030,203,Online Panel,,0,207794,1778,lv,2024,U.S. President,REP,46.2,Trump
88030,203,Online Panel,,0,207794,1778,lv,2024,U.S. President,IND,1,West
88030,203,Online Panel,,0,207794,1778,lv,2024,U.S. President,GRE,0.8,Stein
88030,203,Online Panel,,0,207794,1778,lv,2024,U.S. President,LIB,0.9,Oliver
87989,243,,Nevada,0,207585,800,lv,2024,U.S. President,DEM,46.5,Harris
87989,243,,Nevada,0,207585,800,lv,2024,U.S. President,REP,47.9,Trump
87990,243,,Arizona,0,207586,800,lv,2024,U.S. President,DEM,48.4,Harris
87990,243,,Arizona,0,207586,800,lv,2024,U.S. President,REP,48.6,Trump
87994,243,,North Carolina,0,207583,800,lv,2024,U.S. President,DEM,48.4,Harris
87994,243,,North Carolina,0,207583,800,lv,2024,U.S. President,REP,49.2,Trump
87995,243,,Georgia,0,207584,800,lv,2024,U.S. President,DEM,48.3,Harris
87995,243,,Georgia,0,207584,800,lv,2024,U.S. President,REP,47.6,Trump
88028,308,Online Panel,Oklahoma,0,207760,323,lv,2024,U.S. President,DEM,39.9,Harris
88028,308,Online Panel,Oklahoma,0,207760,323,lv,2024,U.S. President,REP,56,Trump
87997,721,App Panel,Florida,0,207588,400,lv,2024,U.S. President,DEM,46.6,Harris
87997,721,App Panel,Florida,0,207588,400,lv,2024,U.S. President,REP,53.4,Trump
87998,721,App Panel,Texas,0,207589,400,lv,2024,U.S. President,DEM,45.5,Harris
87998,721,App Panel,Texas,0,207589,400,lv,2024,U.S. President,REP,54.5,Trump
87996,721,App Panel,North Carolina,0,207587,400,lv,2024,U.S. President,DEM,50,Harris
87996,721,App Panel,North Carolina,0,207587,400,lv,2024,U.S. President,REP,50,Trump
