"","state","year","absenteeexcusereq","pollhours","avgpollhours","maxpollhours","minpollhours","regdeadlines","voteridlaws","novoterid","noallmailvote","noearlyvote","nofelonreg","nofelonsregafterincar","nonstrictid","nonstrictphoto","noonlineregistration","nopermanentabsentee","nopollplacereg","nopr","nosamedayreg","nostateholiday","pr16","pr17","pr175","pr60","pr90","strictid","strictphoto"
"1","AL",2000,1,9,11,12,10,10,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"2","AK",2000,0,7,13,13,13,30,1,0,1,0,1,1,1,0,NA,NA,1,0,1,1,0,0,0,0,1,0,0
"3","AZ",2000,0,7,13,13,13,29,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"4","AR",2000,1,8,12,12,12,30,2,0,1,1,1,1,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"5","CA",2000,0,7,13,13,13,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"6","CO",2000,0,8,12,12,12,29,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"7","CT",2000,1,6,14,14,14,14,1,0,1,1,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"8","DE",2000,1,7,13,13,13,20,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"9","FL",2000,0,8,12,12,12,29,2,0,1,1,1,1,0,1,NA,NA,1,0,1,1,0,1,0,0,0,0,0
"10","GA",2000,0,8,12,12,12,30,1,0,1,1,1,1,1,0,NA,NA,1,0,1,1,0,0,1,0,0,0,0
"11","HI",2000,0,9,11,11,11,30,2,0,1,0,1,1,0,1,NA,NA,1,0,1,0,1,0,0,0,0,0,0
"12","ID",2000,0,7.5,12.5,13,12,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0
"13","IL",2000,0,7,13,13,13,29,0,1,1,1,1,0,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"14","IN",2000,1,8,12,12,12,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"15","IA",2000,0,6,14,14,14,10,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"16","KS",2000,0,7,13,14,12,14,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"17","KY",2000,1,8,12,12,12,28,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0.5,0,0,0,0,0,0,0
"18","LA",2000,1,6,14,14,14,28,2,0,1,1,1,1,0,1,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"19","ME",2000,0,8,12,14,10,0,0,1,1,1,0,0,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0
"20","MD",2000,0,7,13,13,13,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"21","MA",2000,1,7,13,13,13,20,0,1,1,1,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"22","MI",2000,1,7,13,13,13,30,2,0,1,1,1,0,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"23","MN",2000,1,8.5,11.5,13,10,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0
"24","MS",2000,1,8,12,12,12,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"25","MO",2000,1,7,13,13,13,28,0,1,1,1,1,1,0,0,NA,NA,1,0,1,1,0,0,1,0,0,0,0
"26","MT",2000,0,9.5,10.5,13,8,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"27","NE",2000,0,8,12,12,12,12,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"28","NV",2000,0,8,12,12,12,30,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"29","NH",2000,1,10,10,12,8,0,0,1,1,1,1,1,0,0,NA,NA,1,1,0,1,0,0,0,0,0,0,0
"30","NJ",2000,0,7,13,13,13,29,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"31","NM",2000,0,8,12,12,12,28,0,1,1,0,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"32","NY",2000,1,5,15,15,15,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0.75,0,0,0,0,0,0,0
"33","NC",2000,0,7,13,13,13,25,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"34","ND",2000,0,8,12,14,10,0,0,1,1,1,1,0,0,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0
"35","OH",2000,0,7,13,13,13,30,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"36","OK",2000,0,8,12,12,12,24,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"37","OR",2000,0,0,20,20,20,20,0,1,0,0,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"38","PA",2000,1,7,13,13,13,30,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"39","RI",2000,1,6.5,13.5,15,12,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"40","SC",2000,1,8,12,12,12,30,1,0,1,1,1,1,1,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"41","SD",2000,0,8,12,12,12,15,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"42","TN",2000,1,8.5,11.5,13,10,30,2,0,1,0,1,1,0,1,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"43","TX",2000,1,8,12,12,12,30,1,0,1,0,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"44","UT",2000,1,7,13,13,13,8,0,1,1,1,1,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"45","VT",2000,0,9,11,13,9,17,0,1,1,0,0,0,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"46","VA",2000,1,7,13,13,13,28,1,0,1,1,1,1,1,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"47","WA",2000,1,7,13,13,13,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,1,0,0,0,0,0,0,0
"48","WV",2000,1,7,13,13,13,30,0,1,1,1,1,1,0,0,NA,NA,1,1,1,0,0,0,0,0,0,0,0
"49","WI",2000,0,8,12,13,11,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0
"50","WY",2000,0,8,12,12,12,0,0,1,1,1,1,1,0,0,NA,NA,0,1,0,1,0,0,0,0,0,0,0
"51","AL",2004,1,9,11,12,10,10,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0
"52","AK",2004,0,7,13,13,13,30,1,0,1,0,1,1,1,0,1,NA,1,0,1,1,0,0,0,0,1,0,0
"53","AZ",2004,0,7,13,13,13,29,0,1,1,0,1,1,0,0,0,NA,1,1,1,1,0,0,0,0,0,0,0
"54","AR",2004,1,8,12,12,12,30,2,0,1,0,1,1,0,1,1,NA,1,1,1,1,0,0,0,0,0,0,0
"55","CA",2004,0,7,13,13,13,15,0,1,1,1,1,1,0,0,1,NA,1,1,1,1,0,0,0,0,0,0,0
"56","CO",2004,0,8,12,12,12,29,1,0,1,0,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0
"57","CT",2004,1,6,14,14,14,14,1,0,1,1,1,1,1,0,1,NA,1,1,1,1,0,0,0,0,0,0,0
"58","DE",2004,1,7,13,13,13,20,1,0,1,1,1,1,1,0,1,NA,1,1,1,0,0,0,0,0,0,0,0
"59","FL",2004,0,8,12,12,12,29,2,0,1,0,1,1,0,1,1,NA,1,0,1,1,0,1,0,0,0,0,0
