"","GEOID","NAME","total_population_raceE","total_population_raceM","median_household_incomeE","median_household_incomeM","total_population_white_aloneE","total_population_white_aloneM","median_household_income_white_aloneE","median_household_income_white_aloneM","total_population_hispanicOrLatinoE","total_population_hispanicOrLatinoM","median_household_income_hispanicOrLatinoE","median_household_income_hispanicOrLatinoM","total_population_black_aloneE","total_population_black_aloneM","median_household_income_black_aloneE","median_household_income_black_aloneM","total_population_americanIndianAlaskaNative_aloneE","total_population_americanIndianAlaskaNative_aloneM","median_household_income_americanIndianAlaskaNative_aloneE","median_household_income_americanIndianAlaskaNative_aloneM","total_population_asian_aloneE","total_population_asian_aloneM","median_household_income_asian_aloneE","median_household_income_asian_aloneM","total_population_nativeHawaiianAndOtherPacificIslander_aloneE","total_population_nativeHawaiianAndOtherPacificIslander_aloneM","median_household_income_nativeHawaiianAndOtherPacificIslander_aloneE","median_household_income_nativeHawaiianAndOtherPacificIslander_aloneM","total_population_someOtherRace_aloneE","total_population_someOtherRace_aloneM","median_household_income_someOtherRace_aloneE","median_household_income_someOtherRace_aloneM","total_population_twoOrMoreRacesE","total_population_twoOrMoreRacesM","median_household_income_twoOrMoreRacesE","median_household_income_twoOrMoreRacesM","total_population_educationE","total_population_educationM","total_lessThan9thGradeE","total_lessThan9thGradeM","total_9thTo12thGradeNoDiplomaE","total_9thTo12thGradeNoDiplomaM","less_than_hs_white_maleE","less_than_hs_white_maleM","less_than_hs_white_femaleE","less_than_hs_white_femaleM","less_than_hs_black_maleE","less_than_hs_black_maleM","less_than_hs_black_femaleE","less_than_hs_black_femaleM","less_than_hs_americanIndianAlaskaNative_maleE","less_than_hs_americanIndianAlaskaNative_maleM","less_than_hs_americanIndianAlaskaNative_femaleE","less_than_hs_americanIndianAlaskaNative_femaleM","less_than_hs_asian_maleE","less_than_hs_asian_maleM","less_than_hs_asian_femaleE","less_than_hs_asian_femaleM","less_than_hs_nativeHawaiianAndOtherPacificIslander_maleE","less_than_hs_nativeHawaiianAndOtherPacificIslander_maleM","less_than_hs_nativeHawaiianAndOtherPacificIslander_femaleE","less_than_hs_nativeHawaiianAndOtherPacificIslander_femaleM","less_than_hs_someOtherRace_maleE","less_than_hs_someOtherRace_maleM","less_than_hs_someOtherRace_femaleE","less_than_hs_someOtherRace_femaleM","less_than_hs_twoOrMoreRaces_maleE","less_than_hs_twoOrMoreRaces_maleM","less_than_hs_twoOrMoreRaces_femaleE","less_than_hs_twoOrMoreRaces_femaleM","less_than_hs_whiteAloneNotHispanicOrLatino_maleE","less_than_hs_whiteAloneNotHispanicOrLatino_maleM","less_than_hs_whiteAloneNotHispanicOrLatino_femaleE","less_than_hs_whiteAloneNotHispanicOrLatino_femaleM","less_than_hs_hispanicOrLatino_maleE","less_than_hs_hispanicOrLatino_maleM","less_than_hs_hispanicOrLatino_femaleE","less_than_hs_hispanicOrLatino_femaleM","total_highSchoolGraduateE","total_highSchoolGraduateM","hsGrad_white_maleE","hsGrad_white_maleM","hsGrad_white_femaleE","hsGrad_white_femaleM","hsGrad_black_maleE","hsGrad_black_maleM","hsGrad_black_femaleE","hsGrad_black_femaleM","hsGrad_americanIndianAlaskaNative_maleE","hsGrad_americanIndianAlaskaNative_maleM","hsGrad_americanIndianAlaskaNative_femaleE","hsGrad_americanIndianAlaskaNative_femaleM","hsGrad_asian_maleE","hsGrad_asian_maleM","hsGrad_asian_femaleE","hsGrad_asian_femaleM","hsGrad_nativeHawaiianAndOtherPacificIslander_maleE","hsGrad_nativeHawaiianAndOtherPacificIslander_maleM","hsGrad_nativeHawaiianAndOtherPacificIslander_femaleE","hsGrad_nativeHawaiianAndOtherPacificIslander_femaleM","hsGrad_someOtherRace_maleE","hsGrad_someOtherRace_maleM","hsGrad_someOtherRace_femaleE","hsGrad_someOtherRace_femaleM","hsGrad_twoOrMoreRaces_maleE","hsGrad_twoOrMoreRaces_maleM","hsGrad_twoOrMoreRaces_femaleE","hsGrad_twoOrMoreRaces_femaleM","hsGrad_whiteAloneNotHispanicOrLatino_maleE","hsGrad_whiteAloneNotHispanicOrLatino_maleM","hsGrad_whiteAloneNotHispanicOrLatino_femaleE","hsGrad_whiteAloneNotHispanicOrLatino_femaleM","hsGrad_hispanicOrLatino_maleE","hsGrad_hispanicOrLatino_maleM","hsGrad_hispanicOrLatino_femaleE","hsGrad_hispanicOrLatino_femaleM","total_someCollegeNoDegreeE","total_someCollegeNoDegreeM","total_associatesDegreeE","total_associatesDegreeM","someCollegeOrAssociatesDegree_white_maleE","someCollegeOrAssociatesDegree_white_maleM","someCollegeOrAssociatesDegree_white_femaleE","someCollegeOrAssociatesDegree_white_femaleM","someCollegeOrAssociatesDegree_black_maleE","someCollegeOrAssociatesDegree_black_maleM","someCollegeOrAssociatesDegree_black_femaleE","someCollegeOrAssociatesDegree_black_femaleM","someCollegeOrAssociatesDegree_americanIndianAlaskaNative_maleE","someCollegeOrAssociatesDegree_americanIndianAlaskaNative_maleM","someCollegeOrAssociatesDegree_americanIndianAlaskaNative_femaleE","someCollegeOrAssociatesDegree_americanIndianAlaskaNative_femaleM","someCollegeOrAssociatesDegree_asian_maleE","someCollegeOrAssociatesDegree_asian_maleM","someCollegeOrAssociatesDegree_asian_femaleE","someCollegeOrAssociatesDegree_asian_femaleM","someCollegeOrAssociatesDegree_nativeHawaiianAndOtherPacificIslander_maleE","someCollegeOrAssociatesDegree_nativeHawaiianAndOtherPacificIslander_maleM","someCollegeOrAssociatesDegree_nativeHawaiianAndOtherPacificIslander_femaleE","someCollegeOrAssociatesDegree_nativeHawaiianAndOtherPacificIslander_femaleM","someCollegeOrAssociatesDegree_someOtherRace_maleE","someCollegeOrAssociatesDegree_someOtherRace_maleM","someCollegeOrAssociatesDegree_someOtherRace_femaleE","someCollegeOrAssociatesDegree_someOtherRace_femaleM","someCollegeOrAssociatesDegree_twoOrMoreRaces_maleE","someCollegeOrAssociatesDegree_twoOrMoreRaces_maleM","someCollegeOrAssociatesDegree_twoOrMoreRaces_femaleE","someCollegeOrAssociatesDegree_twoOrMoreRaces_femaleM","someCollegeOrAssociatesDegree_whiteAloneNotHispanicOrLatino_maleE","someCollegeOrAssociatesDegree_whiteAloneNotHispanicOrLatino_maleM","someCollegeOrAssociatesDegree_whiteAloneNotHispanicOrLatino_femaleE","someCollegeOrAssociatesDegree_whiteAloneNotHispanicOrLatino_femaleM","someCollegeOrAssociatesDegree_hispanicOrLatino_maleE","someCollegeOrAssociatesDegree_hispanicOrLatino_maleM","someCollegeOrAssociatesDegree_hispanicOrLatino_femaleE","someCollegeOrAssociatesDegree_hispanicOrLatino_femaleM","total_bachelorsDegreeE","total_bachelorsDegreeM","total_graduateOrProfessionalDegreeE","total_graduateOrProfessionalDegreeM","bachelorsDegreeOrHigher_white_maleE","bachelorsDegreeOrHigher_white_maleM","bachelorsDegreeOrHigher_white_femaleE","bachelorsDegreeOrHigher_white_femaleM","bachelorsDegreeOrHigher_black_maleE","bachelorsDegreeOrHigher_black_maleM","bachelorsDegreeOrHigher_black_femaleE","bachelorsDegreeOrHigher_black_femaleM","bachelorsDegreeOrHigher_americanIndianAlaskaNative_maleE","bachelorsDegreeOrHigher_americanIndianAlaskaNative_maleM","bachelorsDegreeOrHigher_americanIndianAlaskaNative_femaleE","bachelorsDegreeOrHigher_americanIndianAlaskaNative_femaleM","bachelorsDegreeOrHigher_asian_maleE","bachelorsDegreeOrHigher_asian_maleM","bachelorsDegreeOrHigher_asian_femaleE","bachelorsDegreeOrHigher_asian_femaleM","bachelorsDegreeOrHigher_nativeHawaiianAndOtherPacificIslander_maleE","bachelorsDegreeOrHigher_nativeHawaiianAndOtherPacificIslander_maleM","bachelorsDegreeOrHigher_nativeHawaiianAndOtherPacificIslander_femaleE","bachelorsDegreeOrHigher_nativeHawaiianAndOtherPacificIslander_femaleM","bachelorsDegreeOrHigher_someOtherRace_maleE","bachelorsDegreeOrHigher_someOtherRace_maleM","bachelorsDegreeOrHigher_someOtherRace_femaleE","bachelorsDegreeOrHigher_someOtherRace_femaleM","bachelorsDegreeOrHigher_twoOrMoreRaces_maleE","bachelorsDegreeOrHigher_twoOrMoreRaces_maleM","bachelorsDegreeOrHigher_twoOrMoreRaces_femaleE","bachelorsDegreeOrHigher_twoOrMoreRaces_femaleM","bachelorsDegreeOrHigher_whiteAloneNotHispanicOrLatino_maleE","bachelorsDegreeOrHigher_whiteAloneNotHispanicOrLatino_maleM","bachelorsDegreeOrHigher_whiteAloneNotHispanicOrLatino_femaleE","bachelorsDegreeOrHigher_whiteAloneNotHispanicOrLatino_femaleM","bachelorsDegreeOrHigher_hispanicOrLatino_maleE","bachelorsDegreeOrHigher_hispanicOrLatino_maleM","bachelorsDegreeOrHigher_hispanicOrLatino_femaleE","bachelorsDegreeOrHigher_hispanicOrLatino_femaleM"
"1","01001","Autauga County, Alabama",58761,NA,68315,4941,43747,345,75794,4310,1864,NA,80917,28015,11496,525,50763,6587,59,71,NA,NA,658,218,NA,NA,0,30,NA,NA,321,243,NA,NA,2480,668,90071,31793,44357,278,683,203,3754,473,1117,215,1208,370,710,183,617,197,0,30,0,30,18,42,14,17,0,30,0,30,8,16,17,28,85,74,63,63,1091,211,1208,370,59,61,17,28,13994,870,4866,466,4749,428,1273,346,1101,251,0,30,10,18,73,93,29,34,0,30,0,30,44,51,61,74,188,114,123,74,4798,479,4719,425,210,139,129,98,10094,814,3742,510,4150,469,5188,453,806,250,1198,318,7,13,0,30,0,30,91,82,0,30,0,30,0,30,16,25,196,89,283,269,4124,469,5103,450,45,55,110,85,6919,773,5171,653,4671,507,4742,514,605,198,1062,297,42,66,0,30,114,106,173,101,0,30,0,30,39,51,22,52,261,204,148,83,4576,502,4615,519,258,170,160,120
"2","01003","Baldwin County, Alabama",233420,NA,71039,2374,195998,1247,76396,2580,11210,NA,56507,12309,19445,746,38223,6606,848,325,58350,18299,2046,347,96071,43912,31,32,NA,NA,4414,1216,42756,31284,10638,1169,79533,14902,180460,653,2899,485,12754,1372,5392,796,4316,596,1112,305,937,337,103,76,7,15,140,103,315,128,0,30,0,30,370,221,276,170,690,370,373,256,5308,793,4231,589,1180,331,705,297,52332,2093,19277,1287,19572,1239,2769,455,2429,444,115,74,32,35,16,25,140,87,13,22,0,30,237,175,393,223,705,289,693,184,18827,1244,19350,1223,896,285,720,222,40427,1777,16996,1318,20401,1126,25439,1525,1272,436,2421,490,117,81,157,89,53,52,182,125,0,30,9,14,362,205,202,162,792,222,808,252,20196,1115,25038,1521,609,224,754,240,34475,2044,20577,1429,24206,1246,25837,1484,955,348,1043,344,38,47,67,54,244,146,381,113,0,30,0,30,219,144,376,179,567,181,452,221,23969,1236,25591,1479,559,228,799,268
"3","01005","Barbour County, Alabama",24877,NA,39712,3289,11309,221,61356,6950,1202,NA,35265,20877,11668,220,25703,1886,74,39,NA,NA,126,26,60063,25424,3,4,NA,NA,1088,270,31375,25416,609,215,21574,5958,19305,127,1178,233,3145,361,979,144,444,150,1375,269,933,167,5,10,18,16,20,26,6,9,0,24,3,4,141,49,150,85,60,43,21,42,952,143,409,146,182,45,205,78,7106,516,1539,204,1395,222,1962,295,1256,189,35,36,0,24,14,21,24,26,0,24,0,24,7,9,139,97,77,48,59,46,1496,202,1388,222,70,42,71,54,4275,374,1456,275,1339,171,1357,168,743,198,1275,154,9,16,0,24,1,2,10,15,0,24,0,24,41,55,73,70,18,19,47,42,1337,171,1357,168,2,3,42,47,1221,209,924,188,740,131,945,160,72,57,252,103,7,14,0,24,9,12,25,19,0,24,0,24,2,5,0,24,27,24,21,18,732,131,945,160,21,23,0,24
"4","01007","Bibb County, Alabama",22251,NA,50669,8260,16872,225,59109,6463,650,NA,NA,NA,4603,294,21563,16095,21,25,NA,NA,69,94,NA,NA,0,24,NA,NA,108,129,NA,NA,578,321,NA,NA,17419,107,1003,273,2523,380,1138,257,788,269,1093,269,265,171,0,24,0,24,0,24,0,24,0,24,0,24,11,19,44,48,15,22,12,21,1124,256,771,268,37,30,44,40,7331,587,2708,322,2288,323,724,254,656,166,0,24,2,6,0,24,24,46,0,24,0,24,0,24,0,24,78,67,30,34,2655,317,2284,324,53,56,17,23,3396,408,1378,277,1468,232,2145,296,357,206,203,189,0,24,13,22,0,24,0,24,0,24,0,24,0,24,0,24,60,70,64,98,1464,232,2145,296,34,57,0,24,1096,281,692,273,805,247,736,193,44,47,84,74,0,24,6,10,19,33,26,47,0,24,0,24,0,24,0,24,12,19,7,11,805,247,736,193,8,18,6,10
"5","01009","Blount County, Alabama",59077,NA,57440,3308,53941,683,57667,3562,5721,NA,62054,18665,729,196,40125,32927,227,157,NA,NA,100,96,143472,24865,117,96,NA,NA,1859,546,66284,24585,2104,434,44500,5713,43701,348,2031,388,4975,607,3639,522,2737,381,91,48,91,108,17,36,2,4,0,30,0,30,20,28,0,30,340,175,288,123,137,95,85,50,2907,432,2352,342,1134,183,710,128,16201,866,6842,548,6736,487,64,47,92,72,48,41,30,25,0,30,13,21,0,30,48,72,117,70,71,63,150,100,203,129,6711,551,6654,493,323,109,167,75,9684,660,4687,596,6078,594,6124,450,35,41,56,49,0,30,15,16,0,30,0,30,0,30,6,10,87,53,80,60,236,91,222,103,5892,575,6006,438,290,143,211,102,3945,563,2178,363,2187,393,3605,411,4,12,10,14,0,30,25,26,32,39,36,52,0,30,0,30,7,12,3,13,41,49,67,44,2168,393,3591,408,44,43,40,41
"6","01011","Bullock County, Alabama",10328,NA,36136,4731,2397,227,69781,23418,907,NA,65179,12665,7117,88,26383,4909,0,20,NA,NA,43,49,NA,NA,0,20,NA,NA,568,259,66111,9499,203,144,NA,NA,7877,198,590,242,1395,370,221,129,71,43,777,246,410,165,0,20,0,20,0,20,43,49,0,20,0,20,136,67,120,122,116,98,11,22,179,100,64,42,224,68,138,118,3287,494,429,137,253,116,1260,274,948,197,0,20,0,20,0,20,0,20,0,20,0,20,0,20,64,100,3,6,0,20,429,137,199,92,0,20,118,122,1696,402,218,102,271,145,210,111,373,181,761,194,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,3,7,5,10,271,145,210,111,0,20,0,20,522,193,169,90,208,102,182,70,114,73,167,97,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,208,102,182,70,0,20,0,20
"7","01013","Butler County, Alabama",18981,NA,44429,4102,9777,76,52776,6708,322,NA,20000,13836,8462,68,33716,4247,69,51,53454,5725,243,59,NA,NA,0,20,NA,NA,57,34,NA,NA,373,115,NA,NA,14609,118,475,121,1300,255,351,93,277,75,432,151,490,122,0,20,0,20,14,17,10,16,0,20,0,20,12,14,5,8,43,42,12,15,351,93,266,73,30,29,16,18,7145,510,1624,163,1705,182,1369,175,1510,254,7,6,0,20,53,31,0,20,0,20,0,20,0,20,32,29,40,45,24,26,1624,163,1674,179,33,44,79,39,2847,370,1092,203,1003,175,1060,160,374,111,861,181,15,18,38,36,34,50,75,39,0,20,0,20,0,20,0,20,44,56,21,25,1003,175,1060,160,35,54,0,20,1065,156,685,150,382,82,858,145,88,46,356,120,9,13,0,20,17,27,0,20,0,20,0,20,0,20,0,20,9,13,12,24,382,82,849,147,9,13,9,15
"8","01015","Calhoun County, Alabama",116162,NA,54339,2221,83306,575,59327,1923,4736,NA,45458,24890,25631,449,38769,5097,258,132,NA,NA,765,148,43860,13525,207,190,NA,NA,2223,519,45083,44688,3772,531,32708,16558,90157,320,3143,502,9459,815,4309,498,3961,476,1358,341,1058,198,0,30,111,92,135,86,57,41,0,30,0,30,248,138,228,108,199,101,119,78,4242,498,3844,462,403,149,458,144,31338,1379,9958,703,10180,805,2773,383,2735,392,13,27,20,26,19,24,148,88,4,6,169,167,448,231,148,100,169,93,494,215,9914,705,10003,800,422,176,287,116,23375,1220,6931,744,8905,798,9824,863,2244,352,2923,423,15,24,12,20,37,42,121,60,0,30,3,5,89,65,48,41,213,89,318,91,8758,753,9762,859,289,141,197,107,9820,798,6091,663,5341,551,7185,667,627,224,1406,262,10,12,6,8,55,56,49,36,0,30,0,30,57,63,61,50,107,88,214,125,5303,551,7108,662,105,85,159,90
"9","01017","Chambers County, Alabama",34612,NA,48805,5967,19642,122,55183,6923,1129,NA,81152,10468,14114,154,43419,6651,21,29,NA,NA,60,54,28274,9982,3,5,NA,NA,240,122,NA,NA,532,158,95469,42471,27182,102,1392,289,2886,439,1229,227,841,141,793,221,1139,247,0,27,0,27,0,27,2,4,0,27,2,4,23,24,42,41,5,8,11,18,1155,240,761,135,97,70,122,57,10781,609,2642,288,2704,306,2294,364,1860,308,9,22,0,27,24,36,0,27,0,27,0,27,31,51,74,65,105,55,20,32,2603,297,2704,306,76,59,55,56,6179,519,2784,353,2170,259,2730,304,921,322,1748,287,0,27,1,2,0,27,18,29,0,27,0,27,0,27,15,29,58,66,49,36,2147,258,2661,305,23,35,84,52,2294,385,866,213,827,167,1271,246,365,158,572,220,11,20,0,27,0,27,0,27,0,27,0,27,0,27,0,27,48,46,52,48,827,167,1256,240,39,41,39,47
"10","01019","Cherokee County, Alabama",25069,NA,46621,3697,22884,129,46735,3776,479,NA,40883,1866,1008,144,56518,34354,120,79,28558,1005,27,62,NA,NA,0,24,NA,NA,206,78,40787,29390,824,201,42278,19771,20008,183,1157,256,2223,321,1668,332,1200,214,69,66,265,123,0,24,0,24,10,27,11,32,0,24,0,24,29,40,39,37,14,16,43,41,1641,331,1200,214,56,41,50,38,7448,568,3042,369,3193,326,94,61,160,111,6,11,92,72,0,24,3,5,0,24,0,24,27,30,2,4,32,28,27,26,3035,368,3193,326,34,30,5,8,4129,490,2287,427,2725,376,2766,330,156,108,49,42,3,5,12,19,0,24,0,24,0,24,0,24,0,24,24,18,14,21,45,30,2725,376,2761,329,14,19,36,26,1586,300,1178,227,1052,185,1494,244,0,24,74,59,0,24,0,24,0,24,0,24,0,24,0,24,41,46,10,14,0,24,32,42,1052,185,1474,244,33,45,30,28
