"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H6AK00144","BENSON, DIANE E MS","C","DEM",248488.15,243797.62,"AK","00",NA,NA,NA,NA
"H8AK00090","METCALFE, JAMES K JAKE","C","DEM",151470.51,140373.83,"AK","00",NA,NA,NA,NA
"H8AK00108","BERKOWITZ, ETHAN A","C","DEM",1646062.53,1393314.82,"AK","00",NA,"W",NA,"L"
"H6AK00045","YOUNG, DONALD E","I","REP",1412031.02,757445.67,"AK","00",NA,"W",NA,"W"
"H8AK00116","LEDOUX, GABRIELLE R","C","REP",540512.89,164187.89,"AK","00",NA,NA,NA,NA
"H8AK00124","PARNELL, SEAN","C","REP",604254.13,587139.38,"AK","00",NA,NA,NA,NA
"H2AL01119","BELK, JUDY MCCAIN","C","DEM",0,0,"AL","01",NA,NA,NA,NA
"H6AL01052","BECKERLE, VIVIAN SHEFFIELD","C","DEM",0,0,"AL","01",NA,NA,NA,NA
"H8AL01041","LODMELL, BENJAMIN","C","DEM",72110.1,12110.1,"AL","01",NA,NA,NA,NA
"H2AL01077","BONNER, JO","I","REP",842275.45,431586.54,"AL","01",NA,"W",NA,"W"
"H2AL01085","PRINGLE, CHRIS","C","REP",250,0,"AL","01",NA,NA,NA,NA
"H4AL01032","CALLAHAN, HERBERT L","C","REP",504.66,0,"AL","01",NA,NA,NA,NA
"H8AL02130","BRIGHT, BOBBY NEAL MR. SR.","O","DEM",1236102.93,679056.62,"AL","02",NA,"W",NA,"W"
"H8AL02148","SABEL, CHERYL T","O","DEM",27506,25506,"AL","02",NA,NA,NA,NA
"H8AL02155","CRAWLEY, CENDIE","O","DEM",9574,2206,"AL","02",NA,NA,NA,NA
"H2AL02067","EVERETT, TERRY","I","REP",268322.82,137256,"AL","02",NA,NA,NA,NA
"H4AL02048","WOODS, DAVID DWIGHT","O","REP",404251.66,130418.99,"AL","02",NA,NA,NA,NA
"H8AL02080","LOVE, JAY K","O","REP",2446494.75,791263.6,"AL","02",NA,NA,NA,"L"
"H8AL02098","MARTIN, JOHN","O","REP",16976,2456,"AL","02",NA,NA,NA,NA
"H8AL02106","SMITH, HARRI ANNE","O","REP",1038133.9,571545.51,"AL","02",NA,NA,NA,NA
"H8AL02114","GRIMES, DAVID G","O","REP",30020,25520,"AL","02",NA,NA,NA,NA
"H8AL02122","SCHMIDTKE, CRAIG D","O","REP",800974.26,21147.64,"AL","02",NA,NA,NA,NA
"H8AL03039","TURNHAM, JOSEPH R","C","DEM",25342.43,0,"AL","03",NA,NA,NA,NA
"H8AL03047","SEGALL, JOSHUA STEVEN","C","DEM",1190087.99,815490.43,"AL","03",NA,"W",NA,"L"
"H2AL03032","ROGERS, MICHAEL","I","REP",1480939.35,829593.69,"AL","03",NA,"W",NA,"W"
"H8AL04045","WARREN, GREG","C","DEM",24020.39,2073.13,"AL","04",NA,NA,NA,NA
"H8AL04052","SPARKS, NICHOLAS BERNELL","C","DEM",24879,19821,"AL","04",NA,"W",NA,"L"
"H6AL04098","ADERHOLT, ROBERT B.","I","REP",666974.75,281811.99,"AL","04",NA,"W",NA,"W"
"H0AL05049","CRAMER, ROBERT E ""BUD"" JR","I","DEM",639714.93,202750,"AL","05",NA,NA,NA,NA
"H6AL05038","FLIPPO, RONNIE G","C","DEM",-70451,0,"AL","05",NA,NA,NA,NA
"H8AL05117","MAKER, DAVID JOEL","O","DEM",0,0,"AL","05",NA,NA,NA,NA
"H4AL05025","PARKER, WAYNE JR.","O","REP",1456464.25,863699.53,"AL","05",NA,NA,NA,"L"
"H8AL05091","MCKEE, RAY","O","REP",116167.36,28216,"AL","05",NA,NA,NA,NA
"H8AL05109","GRIFFITH, PARKER REP.","O","REP",1843947.75,718872.48,"AL","05",NA,"W",NA,"W"
"H8AL05133","BASWELL GUTHRIE, CHERYL ANN","O","REP",774016.59,63205,"AL","05",NA,NA,NA,NA
"H8AL05141","BARRY, GEORGE C","O","REP",20423,19577,"AL","05",NA,NA,NA,NA
"H8AL05166","MANCUSO, ANGELO ""DOC""","O","REP",213050,5050,"AL","05",NA,NA,NA,NA
"H2AL06035","BACHUS, SPENCER T.","I","REP",1460651.33,521439,"AL","06",NA,"W",NA,"W"
"H0AL07060","DAVIS, ARTUR  G","I","DEM",1692711.71,582004.24,"AL","07",NA,"W",NA,"W"
"H6AL07166","WALTERS, EDDISON T","C","DEM",0,0,"AL","07",NA,NA,NA,NA
"H6AR01072","BERRY, MARION","I","DEM",1166379.03,376078.95,"AR","01",NA,"W",NA,"W"
"H6AR01106","STUMBAUGH, MICKEY DARRIN ""STUBBY""","C","REP",1909.37,763.07,"AR","01",NA,NA,NA,NA
"H6AR02203","SNYDER, VICTOR F","I","DEM",301984.35,149646,"AR","02",NA,"W",NA,"W"
"H6AR02229","MAYBERRY, ANDY JOSEPH","C","REP",0,0,"AR","02",NA,NA,NA,NA
"H2AR03150","HATHORN, MICHAEL CARL","C","DEM",3.44,0,"AR","03",NA,NA,NA,NA
"H6AR03086","ANDERSON, WOODROW WILSON III","C","DEM",300,0,"AR","03",NA,NA,NA,NA
"H2AR03143","HENDREN, JAMES PAUL","C","REP",0.92,0,"AR","03",NA,NA,NA,NA
"H2AR03176","BOOZMAN, JOHN NICHOLS","I","REP",396812.34,134875.23,"AR","03",NA,"W",NA,"W"
"H8AR03058","TOMLINSON, ABEL NOAH","C","GRE",5948,5498,"AR","03",NA,NA,NA,"L"
"H0AR04038","ROSS, MICHAEL AVERY","I","DEM",1791660.49,536337.37,"AR","04",NA,"W",NA,"W"
"H0AS00018","FALEOMAVAEGA, ENI","I","DEM",119020,101520,"AS","00",NA,NA,NA,"W"
"H4AS00036","COLEMAN, AUMUA AMATA","C","REP",100939.77,92589.77,"AS","00",NA,NA,NA,"L"
"H8AS00052","LANCASTER, FUALA'AU ROSIE TAGO","C","UNK",7400,7400,"AS","00",NA,NA,NA,"L"
"H6AZ00035","SIMON, ELLEN","O","DEM",13080.21,4980,"AZ","01",NA,NA,NA,NA
"H8AZ01070","SHANKER, HOWARD MARC","O","DEM",216539.16,175480.68,"AZ","01",NA,NA,NA,NA
"H8AZ01088","AFFELDT, ALLAN","O","DEM",5203,0,"AZ","01",NA,NA,NA,NA
"H8AZ01096","TITLA, MARY KIM","O","DEM",271323.95,265385.56,"AZ","01",NA,NA,NA,NA
"H8AZ01104","KIRKPATRICK, ANN","O","DEM",2016931.8,1370769.82,"AZ","01",NA,"W",NA,"W"
"H8AZ01153","RILEY, JEFF","O","DEM",220825,15825,"AZ","01",NA,NA,NA,NA
"H2AZ01149","HAY, SYDNEY","O","REP",676826.83,476307,"AZ","01",NA,"W",NA,"L"
"H2AZ01172","RENZI, RICHARD G.","I","REP",185824.06,66818.7,"AZ","01",NA,NA,NA,NA
"H8AZ01112","KONOPNICKI, BILL","O","REP",60577.06,8520.07,"AZ","01",NA,NA,NA,NA
"H8AZ01146","KORN, PRESTON","O","REP",24653.46,16616,"AZ","01",NA,NA,NA,NA
"H8AZ01179","LIVINGSTONE, SANDRA B DR","O","REP",45683,31427,"AZ","01",NA,NA,NA,NA
"H8AZ01187","HANSEN, THOMAS N","O","REP",18653,0,"AZ","01",NA,NA,NA,NA
"H6AZ01165","SCHLOSSER, DAVID B","C","LIB",0,0,"AZ","01",NA,NA,NA,NA
"H8AZ01120","MAUPIN, BRENT GEER","O",NA,30491,6110,"AZ","01",NA,NA,NA,"L"
"H6AZ02155","THRASHER, JOHN A MR.","C","DEM",36806.25,30436.5,"AZ","02",NA,"W",NA,"L"
"H2AZ02196","BUNDGAARD, SCOTT","C","REP",0,0,"AZ","02",NA,NA,NA,NA
"H4AZ04024","FRANKS, TRENT","I","REP",485041.42,281808.53,"AZ","02",NA,"W",NA,"W"
"H6AZ03112","STUMP, BOB","C","REP",0,0,"AZ","02",NA,NA,NA,NA
"H6AZ03146","PAINE, HERBERT JAMES","C","DEM",0,0,"AZ","03",NA,NA,NA,NA
"H8AZ03092","LORD, ROBERT JAMES","C","DEM",1831414.43,1413071.04,"AZ","03",NA,"W",NA,"L"
"H4AZ04016","SHADEGG, JOHN B.","I","REP",2892558.32,1860913.6,"AZ","03",NA,"W",NA,"W"
"H8AZ03100","LOYD, ANNIE","C","IND",39356.46,38805.65,"AZ","03",NA,NA,NA,NA
"H2AZ02055","PASTOR, EDWARD L","I","DEM",1174764.38,500626.43,"AZ","04",NA,"W",NA,"W"
"H8AZ06012","GRAYSON, RICHARD","C","REP",0,0,"AZ","04",NA,NA,NA,NA
"H2AZ05090","KING, LARRY","C","DEM",0,0,"AZ","05",NA,NA,NA,NA
"H6AZ05067","MITCHELL, HARRY E","I","DEM",2437572.35,1555787.98,"AZ","05",NA,"W",NA,"W"
"H4AZ01061","SMITH, SUSAN BITTER","C","REP",470623.71,141771.67,"AZ","05",NA,NA,NA,NA
"H4AZ06045","SCHWEIKERT, DAVID","C","REP",1445724.55,1026554.76,"AZ","05",NA,"W",NA,"L"
"H4AZ06052","HAYWORTH, JD","I","REP",26961.42,0,"AZ","05",NA,NA,NA,NA
"H8AZ05071","OGSBURY, JAMES DONOVAN","C","REP",517624.67,253528.65,"AZ","05",NA,NA,NA,NA
