"","year","state_po","margin"
"1",1996,"AK",-17.5341445244599
"2",1996,"AL",-6.96575550933979
"3",1996,"AR",16.9355914875908
"4",1996,"AZ",2.22264944941096
"5",1996,"CA",12.8894455384811
"6",1996,"CO",-1.36995913158254
"7",1996,"CT",18.1407769848644
"8",1996,"DC",75.8542153494933
"9",1996,"DE",15.247959824231
"10",1996,"FL",5.70102244815067
"11",1996,"GA",-1.1742142651765
"12",1996,"HI",25.2885149394646
"13",1996,"IA",10.3408625893888
"14",1996,"ID",-18.5377182938759
"15",1996,"IL",17.5053248475956
"16",1996,"IN",-5.58524251076246
"17",1996,"KS",-18.2059015172671
"18",1996,"KY",0.95995702480291
"19",1996,"LA",12.0659163130991
"20",1996,"MA",33.3841066881964
"21",1996,"MD",15.9852768590633
"22",1996,"ME",20.8632820429875
"23",1996,"MI",13.2102262393591
"24",1996,"MN",16.1453268700638
"25",1996,"MO",6.29818842342562
"26",1996,"MS",-5.1256520897638
"27",1996,"MT",-2.88147625914126
"28",1996,"NC",-4.69388152588811
"29",1996,"ND",-6.81090495512573
"30",1996,"NE",-18.7043392898002
"31",1996,"NH",10.0040878217146
"32",1996,"NJ",17.8571846572991
"33",1996,"NM",7.32708236673536
"34",1996,"NV",1.01878396395271
"35",1996,"NY",28.3063905071633
"36",1996,"OH",6.35887522014876
"37",1996,"OK",-7.80715878589192
"38",1996,"OR",8.09204796190919
"39",1996,"PA",9.21176893733309
"40",1996,"RI",32.8937826556002
"41",1996,"SC",-5.84142335734692
"42",1996,"SD",-3.4617356234521
"43",1996,"TN",2.40831421700487
"44",1996,"TX",-4.92696970798575
"45",1996,"UT",-21.0745024630838
"46",1996,"VA",-1.9568475595475
"47",1996,"VT",22.2643538957396
"48",1996,"WA",12.5391055342511
"49",1996,"WI",10.3335399051712
"50",1996,"WV",14.7481613112549
"51",1996,"WY",-12.9762585609559
"52",2000,"AK",-30.9546154923659
"53",2000,"AL",-14.9172524053696
"54",2000,"AR",-5.44294143619797
"55",2000,"AZ",-6.28655314304811
"56",2000,"CA",11.798240022499
"57",2000,"CO",-8.35670576236614
"58",2000,"CT",17.466024905363
"59",2000,"DC",76.2033542353908
