poll_id,pollster_rating_id,question_id,state,seat_number,office_type,total_pct
87498,562,203602,Nevada,0,U.S. Senate,82
87499,562,203603,Pennsylvania,0,U.S. Senate,84
87501,721,203605,Texas,0,U.S. Senate,100
87502,562,203606,North Carolina,0,Governor,75
87518,851,203666,Pennsylvania,0,U.S. Senate,90
87520,407,203776,NA,NA,U.S. House,95
87521,133,203729,NA,NA,U.S. House,90
87528,770,203902,NA,NA,U.S. House,89.6
87534,166,204025,Georgia,0,U.S. President,94.7
87538,239,204107,NA,NA,U.S. House,89
87540,233,204127,Pennsylvania,0,U.S. Senate,90
87555,391,204187,NA,NA,U.S. House,88
87557,448,204204,,0,U.S. President,95
87558,357,204334,Maine,0,U.S. President,99
87559,357,204336,New Hampshire,0,U.S. President,99
87562,562,204347,Nevada,0,U.S. Senate,88
87563,562,204348,Pennsylvania,0,U.S. Senate,88
87564,562,204349,North Carolina,0,Governor,76
87572,117,204519,Michigan,0,U.S. Senate,87.1
87576,263,204523,Washington,0,Governor,92
87576,263,204524,Washington,0,Governor,90
87579,133,204421,NA,NA,U.S. House,89
87579,133,204441,,0,U.S. President,100
87581,325,204502,Minnesota,0,U.S. President,90
87581,325,204872,Minnesota,0,U.S. Senate,87
87581,325,204873,Minnesota,0,U.S. Senate,88
87589,239,204534,NA,NA,U.S. House,93
87612,360,204676,Florida,0,U.S. President,91
87612,360,204768,Florida,0,U.S. Senate,90
87617,770,204773,,0,U.S. President,94
87617,770,204777,NA,NA,U.S. House,89
87618,326,204781,Pennsylvania,0,U.S. Senate,89
87634,141,204850,Oregon,0,U.S. President,93
87636,235,204866,Ohio,9,U.S. House,84
87639,721,204876,,0,U.S. President,100
87640,203,204910,NA,NA,U.S. House,90
87640,203,204924,,0,U.S. President,92
87643,836,204990,NA,NA,U.S. House,91.80000000000001
87643,836,204992,,0,U.S. President,97.8
87644,260,204993,Arizona,0,U.S. President,91
87645,260,204994,Michigan,0,U.S. President,90
87646,260,204995,Nevada,0,U.S. President,91
87647,260,204996,Pennsylvania,0,U.S. President,93
87648,260,204997,Wisconsin,0,U.S. President,94
87650,694,205030,Ohio,0,U.S. President,94
87650,694,205031,Ohio,0,U.S. Senate,88
87651,251,205035,,0,U.S. President,100
87651,251,205037,,0,U.S. President,95.1
87651,251,205053,NA,NA,U.S. House,87.4
87652,333,205161,Pennsylvania,7,U.S. House,92
87658,671,205167,Georgia,0,U.S. President,96
87659,52,205192,NA,NA,U.S. House,86
