cycle,poll_id,state,seat_number,office_type,question_id,total_pct
2024.0,87498.0,NV,0.0,U.S. Senate,203602.0,82.0
2024.0,87499.0,PA,0.0,U.S. Senate,203603.0,84.0
2024.0,87501.0,TX,0.0,U.S. Senate,203605.0,100.0
2024.0,87502.0,NC,0.0,Governor,203606.0,75.0
2024.0,87518.0,PA,0.0,U.S. Senate,203666.0,90.0
2024.0,87520.0,US,1.0,U.S. House,203776.0,95.0
2024.0,87521.0,US,1.0,U.S. House,203729.0,90.0
2024.0,87528.0,US,1.0,U.S. House,203902.0,89.6
2024.0,87534.0,GA,0.0,U.S. President,204025.0,94.7
2024.0,87538.0,US,1.0,U.S. House,204107.0,89.0
2024.0,87540.0,PA,0.0,U.S. Senate,204127.0,90.0
2024.0,87555.0,US,1.0,U.S. House,204187.0,88.0
2024.0,87557.0,US,1.0,U.S. President,204204.0,95.0
2024.0,87558.0,ME,0.0,U.S. President,204334.0,99.0
2024.0,87559.0,NH,0.0,U.S. President,204336.0,99.0
2024.0,87562.0,NV,0.0,U.S. Senate,204347.0,88.0
2024.0,87563.0,PA,0.0,U.S. Senate,204348.0,88.0
2024.0,87564.0,NC,0.0,Governor,204349.0,76.0
2024.0,87572.0,MI,0.0,U.S. Senate,204519.0,87.1
2024.0,87576.0,WA,0.0,Governor,204523.0,92.0
2024.0,87579.0,US,1.0,U.S. House,204421.0,89.0
2024.0,87579.0,US,1.0,U.S. President,204441.0,100.0
2024.0,87581.0,MN,0.0,U.S. President,204502.0,90.0
2024.0,87581.0,MN,0.0,U.S. Senate,204873.0,88.0
2024.0,87589.0,US,1.0,U.S. House,204534.0,93.0
2024.0,87612.0,FL,0.0,U.S. President,204676.0,91.0
2024.0,87612.0,FL,0.0,U.S. Senate,204768.0,90.0
2024.0,87617.0,US,1.0,U.S. House,204777.0,89.0
2024.0,87617.0,US,1.0,U.S. President,204773.0,94.0
2024.0,87618.0,PA,0.0,U.S. Senate,204781.0,89.0
2024.0,87634.0,OR,0.0,U.S. President,204850.0,93.0
2024.0,87636.0,OH,9.0,U.S. House,204866.0,84.0
2024.0,87639.0,US,1.0,U.S. President,204876.0,100.0
2024.0,87640.0,US,1.0,U.S. House,204910.0,90.0
2024.0,87640.0,US,1.0,U.S. President,204924.0,92.0
2024.0,87643.0,US,1.0,U.S. House,204990.0,91.80000000000001
2024.0,87643.0,US,1.0,U.S. President,204992.0,97.8
2024.0,87644.0,AZ,0.0,U.S. President,204993.0,91.0
2024.0,87645.0,MI,0.0,U.S. President,204994.0,90.0
2024.0,87646.0,NV,0.0,U.S. President,204995.0,91.0
2024.0,87647.0,PA,0.0,U.S. President,204996.0,93.0
2024.0,87648.0,WI,0.0,U.S. President,204997.0,94.0
2024.0,87650.0,OH,0.0,U.S. President,205030.0,94.0
2024.0,87650.0,OH,0.0,U.S. Senate,205031.0,88.0
2024.0,87651.0,US,1.0,U.S. House,205053.0,87.4
2024.0,87651.0,US,1.0,U.S. President,205035.0,100.0
2024.0,87652.0,PA,7.0,U.S. House,205161.0,92.0
2024.0,87658.0,GA,0.0,U.S. President,205167.0,96.0
2024.0,87659.0,US,1.0,U.S. House,205192.0,86.0
2024.0,87659.0,US,1.0,U.S. President,205198.0,95.0
2024.0,87663.0,US,1.0,U.S. President,205200.0,99.0
2024.0,87667.0,PA,0.0,U.S. President,205210.0,96.0
