year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
1976,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,SAM STEIGER,REPUBLICAN,False,total,321236,741210,False,20210114,REPUBLICAN
1976,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,WM. MATHEWS FEIGHAN,INDEPENDENT,False,total,1565,741210,False,20210114,OTHER
1976,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,DENNIS DECONCINI,DEMOCRAT,False,total,400334,741210,False,20210114,DEMOCRAT
1976,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,ALLAN NORWITZ,LIBERTARIAN,False,total,7310,741210,False,20210114,LIBERTARIAN
1976,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,BOB FIELD,INDEPENDENT,False,total,10765,741210,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,JACK MCCOY,AMERICAN INDEPENDENT,False,total,82739,7470586,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,S. I. (SAM) HAYAKAWA,REPUBLICAN,False,total,3748973,7470586,False,20210114,REPUBLICAN
1976,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,JOHN V. TUNNEY,DEMOCRAT,False,total,3502862,7470586,False,20210114,DEMOCRAT
1976,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,OMARI MUSA,INDEPENDENT,False,total,31629,7470586,False,20210114,OTHER
1976,CALIFORNIA,CA,6,93,71,US SENATE,statewide,gen,False,DAVID WALD,PEACE AND FREEDOM,False,total,104383,7470586,False,20210114,OTHER
1976,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,"LOWELL P. WEICKER, JR.",REPUBLICAN,False,total,785683,1361666,False,20210114,REPUBLICAN
1976,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,SCATTER,,False,total,558,1361666,False,20210114,OTHER
1976,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,ROBERT BARNABEI,AMERICAN INDEPENDENT,False,total,14407,1361666,False,20210114,OTHER
1976,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,GLORIA SCHAFFER,DEMOCRAT,False,total,561018,1361666,False,20210114,DEMOCRAT
1976,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,THOMAS C. MALONEY,DEMOCRAT,False,total,98042,224795,False,20210114,DEMOCRAT
1976,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,"WILLIAM V. ROTH, JR.",REPUBLICAN,False,total,125454,224795,False,20210114,REPUBLICAN
1976,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,DONALD G. GIES,AMERICAN,False,total,646,224795,False,20210114,OTHER
1976,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,JOHN A. MASSIMILLA,PROHIBITION,False,total,216,224795,False,20210114,OTHER
1976,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,JOSEPH F. MCINERNEY,NONE,False,total,437,224795,False,20210114,OTHER
1976,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,LAWTON CHILES,DEMOCRAT,False,total,1799518,2857534,False,20210114,DEMOCRAT
1976,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,SCATTER,,False,total,130,2857534,False,20210114,OTHER
1976,FLORIDA,FL,12,59,43,US SENATE,statewide,gen,False,JOHN GRADY,REPUBLICAN,False,total,1057886,2857534,False,20210114,REPUBLICAN
1976,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,SPARK M. MATSUNAGA,DEMOCRAT,False,total,162305,302092,False,20210114,DEMOCRAT
1976,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,JAMES D. KIMMEL,INDEPENDENT,False,total,1433,302092,False,20210114,OTHER
1976,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,WILLIAM QUINN,REPUBLICAN,False,total,122724,302092,False,20210114,REPUBLICAN
1976,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,ANTHONY N. HODGES,PROHIBITION,False,total,14226,302092,False,20210114,OTHER
1976,HAWAII,HI,15,95,82,US SENATE,statewide,gen,False,ROCKNE JOHNSON,LIBERTARIAN,False,total,1404,302092,False,20210114,LIBERTARIAN
1976,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,RICHARD G. LUGAR,REPUBLICAN,False,total,1275833,2161187,False,20210114,REPUBLICAN
1976,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,VANCE HARTKE,DEMOCRAT,False,total,868522,2161187,False,20210114,DEMOCRAT
1976,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,DON L. LEE,INDEPENDENT,False,total,14321,2161187,False,20210114,OTHER
1976,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,DAVID LEE HOAGLAND,U.S. LABOR,False,total,2511,2161187,False,20210114,OTHER
1976,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,ROBERT A. G. MONKS,REPUBLICAN,False,total,193489,486193,False,20210114,REPUBLICAN
1976,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,EDMUND S. MUSKIE,DEMOCRAT,False,total,292704,486193,False,20210114,DEMOCRAT
1976,MARYLAND,MD,24,52,52,US SENATE,statewide,gen,False,"J. GLENN BEALL, JR.",REPUBLICAN,False,total,530439,1365290,False,20210114,REPUBLICAN
1976,MARYLAND,MD,24,52,52,US SENATE,statewide,gen,False,PAUL S. SARBANES,DEMOCRAT,False,total,772101,1365290,False,20210114,DEMOCRAT
1976,MARYLAND,MD,24,52,52,US SENATE,statewide,gen,False,BRUCE BRADLEY,INDEPENDENT,False,total,62750,1365290,False,20210114,OTHER
1976,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,CAROL HENDERSON EVANS,SOCIALIST WORKERS,False,total,26283,2491255,False,20210114,OTHER
1976,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,SCATTER,,False,total,157,2491255,False,20210114,OTHER
1976,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,MICHAEL S. ROBERTSON,REPUBLICAN,False,total,722641,2491255,False,20210114,REPUBLICAN
1976,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,H. GRAHAM LOWRY,U.S. LABOR,False,total,15517,2491255,False,20210114,OTHER
1976,MASSACHUSETTS,MA,25,14,3,US SENATE,statewide,gen,False,EDWARD M. KENNEDY,DEMOCRAT,False,total,1726657,2491255,False,20210114,DEMOCRAT
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,BETTE JANE ERWIN,LIBERTARIAN,False,total,8842,3490412,False,20210114,LIBERTARIAN
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,THEODORE G. ALBERT,HUMAN RIGHTS,False,total,7281,3490412,False,20210114,OTHER
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,MARVIN L. ESCH,REPUBLICAN,False,total,1635087,3490412,False,20210114,REPUBLICAN
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,"DONALD W. RIEGLE, JR.",DEMOCRAT,False,total,1831031,3490412,False,20210114,DEMOCRAT
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,FRANK GIRARD,SOCIALIST LABOR,False,total,2554,3490412,False,20210114,OTHER
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,PAULA L. REIMERS,SOCIALIST WORKERS,False,total,3399,3490412,False,20210114,OTHER
1976,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,PETER A. SIGNORELLI,U.S. LABOR,False,total,2218,3490412,False,20210114,OTHER
1976,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,ROBIN E. MILLER,LIBERTARIAN,False,total,5476,1912020,False,20210114,LIBERTARIAN
1976,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,BILL PETERSON,SOCIALIST WORKERS,False,total,9380,1912020,False,20210114,OTHER
1976,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,MATT SAVOLA,COMMUNIST,False,total,2214,1912020,False,20210114,OTHER
1976,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,JERRY BREKKE,REPUBLICAN,False,total,478602,1912020,False,20210114,REPUBLICAN
1976,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,PAUL HELM,AMERICAN,False,total,125612,1912020,False,20210114,OTHER
1976,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,HUBERT H. HUMPHREY,DEMOCRAT,False,total,1290736,1912020,False,20210114,DEMOCRAT
1976,MISSISSIPPI,MS,28,64,46,US SENATE,statewide,gen,False,JOHN C. STENNIS,DEMOCRAT,False,total,554433,554433,False,20210114,DEMOCRAT
1976,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,JOHN C. DANFORTH,REPUBLICAN,False,total,1090067,1914460,False,20210114,REPUBLICAN
1976,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,WARREN E. HEARNES,DEMOCRAT,False,total,813571,1914460,False,20210114,DEMOCRAT
1976,MISSOURI,MO,29,43,34,US SENATE,statewide,gen,False,LAWRENE (RED) PETTY,INDEPENDENT,False,total,10822,1914460,False,20210114,OTHER
1976,MONTANA,MT,30,81,64,US SENATE,statewide,gen,False,STANLEY C. BURGER,REPUBLICAN,False,total,115213,321445,False,20210114,REPUBLICAN
1976,MONTANA,MT,30,81,64,US SENATE,statewide,gen,False,JOHN MELCHER,DEMOCRAT,False,total,206232,321445,False,20210114,DEMOCRAT
1976,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,False,,,True,total,58,593310,False,20210114,OTHER
1976,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,False,SCATTER,,False,total,163,593310,False,20210114,OTHER
1976,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,False,JOHN Y. MCCOLLISTER,REPUBLICAN,False,total,279284,593310,False,20210114,REPUBLICAN
1976,NEBRASKA,NE,31,46,35,US SENATE,statewide,gen,False,EDWARD ZORINSKY,DEMOCRAT,False,total,313805,593310,False,20210114,DEMOCRAT
1976,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,BYRON D. YOUNG,INDEPENDENT AMERICAN,False,total,3619,201899,False,20210114,OTHER
1976,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,DAVID TOWELL,REPUBLICAN,False,total,63471,201899,False,20210114,REPUBLICAN
1976,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,OTHER,,False,total,5288,201899,False,20210114,OTHER
1976,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,DAN BECAN,LIBERTARIAN,False,total,2307,201899,False,20210114,LIBERTARIAN
1976,NEVADA,NV,32,88,65,US SENATE,statewide,gen,False,HOWARD W. CANNON,DEMOCRAT,False,total,127214,201899,False,20210114,DEMOCRAT
1976,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,LEIF JOHNSON,LABOR,False,total,6650,2771390,False,20210114,OTHER
1976,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,HANNIBAL CUNDARI,LIBERTARIAN,False,total,19907,2771390,False,20210114,LIBERTARIAN
1976,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,"HARRISON A. WILLIAMS, JR.",DEMOCRAT,False,total,1681140,2771390,False,20210114,DEMOCRAT
1976,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,BERNARDO S. DOGANIERO,SOCIALIST LABOR,False,total,9185,2771390,False,20210114,OTHER
1976,NEW JERSEY,NJ,34,22,12,US SENATE,statewide,gen,False,DAVID F. NORCROSS,REPUBLICAN,False,total,1054508,2771390,False,20210114,REPUBLICAN
