State,Office_type,R_name,D_name,Unopposed/independent,Incumbent,Incumbent_margin,Sabato
Delaware,Governor,n/a,"Bethany Hall-Long /
Matt Meyer",n/a,FALSE,,Safe D
Indiana,Governor,"Mike Braun /
Brad Chambers /
Suzanne Crouch /
Eric Doden /
Curtis Hill /
Jamie Reitenour","Tamie Dixon-Tatum /
Jennifer McCormick","Donald Rainwater /
Christopher Stried",FALSE,,Safe R
Missouri,Governor,"Jay Ashcroft /
Bill Eigel /
Mike Kehoe /
Chris Wright","Sheryl Gladney /
Mike Hamra /
Crystal Quade /
Sarah Unsicker",Larry Flenoid II,FALSE,,Safe R
Montana,Governor,"Greg Gianforte /
Tanner Smith","Ryan Busse /
Shawn White Wolf",n/a,TRUE,,Safe R
New Hampshire,Governor,"Kelly Ayotte /
Chuck Morse","Joyce Craig /
Jonathan Kiper /
Cinde Warmington",n/a,FALSE,,Tossup
North Carolina,Governor,"Dale Folwell /
Bill Graham /
Mark Robinson","Chrelle Booker /
Gary Foxx /
Michael R. Morgan /
Josh Stein /
Marcus Williams",Wayne Turner,FALSE,,Tossup
North Dakota,Governor,"Kelly Armstrong /
Tammy Miller",Travis Hipsher,n/a,FALSE,,Safe R
Utah,Governor,"Spencer Cox /
Sylvia Miera Fisk /
Phil Lyman /
Scott Robbins",Brian King,Tom Tomeny,TRUE,,Safe R
Vermont,Governor,n/a,Esther Charlestin,Unopposed,FALSE,,Likely R
Washington,Governor,"Semi Bird /
Laurel Khan /
Leon Lawson","Bob Ferguson /
Fred Grant /
Chaytan Inman /
EL'ona Kearney","William Combs /
Michael DePaula /
Ambra Mason",FALSE,,Likely D
West Virginia,Governor,"Moore Capito /
Kevin Christian /
Chris Miller /
Patrick Morrisey /
Mitch Roberts /
Mac Warner /
Rashida Yost",Steve Williams,"Erika Kolenich /
Chase Linko-Looper",FALSE,,Safe R
