year,state,district,R_name,D_name,I_name,open_seat
2024,AL,0,Donald Trump,Joe Biden,n/a,FALSE
2024,AK,0,Donald Trump,Joe Biden,n/a,FALSE
2024,AZ,0,Donald Trump,Joe Biden,n/a,FALSE
2024,AR,0,Donald Trump,Joe Biden,n/a,FALSE
2024,CA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,CO,0,Donald Trump,Joe Biden,n/a,FALSE
2024,CT,0,Donald Trump,Joe Biden,n/a,FALSE
2024,DE,0,Donald Trump,Joe Biden,n/a,FALSE
2024,FL,0,Donald Trump,Joe Biden,n/a,FALSE
2024,GA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,HI,0,Donald Trump,Joe Biden,n/a,FALSE
2024,ID,0,Donald Trump,Joe Biden,n/a,FALSE
2024,IL,0,Donald Trump,Joe Biden,n/a,FALSE
2024,IN,0,Donald Trump,Joe Biden,n/a,FALSE
2024,IA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,KS,0,Donald Trump,Joe Biden,n/a,FALSE
2024,KY,0,Donald Trump,Joe Biden,n/a,FALSE
2024,LA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,ME,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MD,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MI,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MN,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MS,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MO,0,Donald Trump,Joe Biden,n/a,FALSE
2024,MT,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NE,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NV,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NH,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NJ,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NM,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NY,0,Donald Trump,Joe Biden,n/a,FALSE
2024,NC,0,Donald Trump,Joe Biden,n/a,FALSE
2024,ND,0,Donald Trump,Joe Biden,n/a,FALSE
2024,OH,0,Donald Trump,Joe Biden,n/a,FALSE
2024,OK,0,Donald Trump,Joe Biden,n/a,FALSE
2024,OR,0,Donald Trump,Joe Biden,n/a,FALSE
2024,PA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,RI,0,Donald Trump,Joe Biden,n/a,FALSE
2024,SC,0,Donald Trump,Joe Biden,n/a,FALSE
2024,SD,0,Donald Trump,Joe Biden,n/a,FALSE
2024,TN,0,Donald Trump,Joe Biden,n/a,FALSE
2024,TX,0,Donald Trump,Joe Biden,n/a,FALSE
2024,UT,0,Donald Trump,Joe Biden,n/a,FALSE
2024,VT,0,Donald Trump,Joe Biden,n/a,FALSE
2024,VA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,WA,0,Donald Trump,Joe Biden,n/a,FALSE
2024,WV,0,Donald Trump,Joe Biden,n/a,FALSE
2024,WI,0,Donald Trump,Joe Biden,n/a,FALSE
2024,WY,0,Donald Trump,Joe Biden,n/a,FALSE
2024,DC,0,Donald Trump,Joe Biden,n/a,FALSE
