State,Office_type,R_name,D_name,Unopposed/independent,Incumbent,Incumbent_margin,Sabato
Arizona,Senate,"Leonard Fulcher /
Kari Lake /
Mark Lamb /
Connie Moreno /
Elizabeth Reye /
Robert Walker /
Alan White /
Brian Wright /
George Nicholson","Ruben Gallego /
Alexander Keller /
Andrew Becerra",Richard Grayson,FALSE,,Tossup
California,Senate,Steve Garvey,Adam Schiff,n/a,FALSE,,Safe D
Connecticut,Senate,"John Flynn /
Robert Hyde /
Gerard Smith",Chris Murphy,n/a,TRUE,,Safe D
Delaware,Senate,"Eric Hansen /
William Taylor","Pamela Brown /
Lisa Blunt Rochester",n/a,FALSE,,Safe D
Florida,Senate,"Rick Scott /
Keith Gross /
Patricia Krentcil /
Shannon O'Dell /
Joe Smith /
Katy Sun /
Angela Marie Walls-Windhauser","Matt Boswell /
Stanley Campbell /
Alan Grayson /
Rod Joseph /
Bernard Korn /
Josue Larose /
Debbie Mucarsel-Powell /
Chase Anderson Romagnano /
Brian Rush /
Matthew Sanscrainte","Mason Cysewski /
Randy Toler /
Grace Granda /
Salomon Hernandez /
Marcos Reyes",TRUE,,Likely R
Hawaii,Senate,"Harry Friel, Jr. /
Adriel Lam",Mazie Hirono,n/a,TRUE,,Safe D
Indiana,Senate,"Jim Banks /
Erik Benson /
Wayne Harmon /
Douglas McGuire /
John Rust /
Anthony Tibby","Marc Carmichael /
Valerie Lin McCray /
RaeVen Ridgell /
Marshall Travis /
Aleem Young","Andy Horning /
Sean Dada /
Richard Kent",FALSE,,Safe R
Maine,Senate,Demi Kouzounas,"Natasha Alcala /
David Costello",Angus King,TRUE,,Likely I
Maryland,Senate,"Moe Barakat /
Chris Chaffee /
Robin Ficker /
Lorie Friend /
Larry Hogan /
John Myrick /
Christopher Puleo /
Laban Seyoum /
John Teichert","Angela Alsobrooks /
Michael Cobb Sr. /
Marcellus Crews /
Brian Frydenborg /
Scottie Griffin /
Robert Houton /
Joseph Perez /
Steven Seuferer /
David Trone /
Andrew Wildman","Nancy Wallace /
Michael Sigmon /
Shaunesi Deberry /
Emmanuel Osuchukwu",FALSE,,Likely D
Massachusetts,Senate,"Zakhai Akiba /
Robert Antonellis /
John Berman /
John Deaton /
Rebekah Etique /
Aaron Packard",Elizabeth Warren,"Louis Marino /
Brandon James Griffin /
Shiva Ayyadurai",TRUE,,Safe D
