State,District,Office_type,R_name,D_name,Unopposed/independent,Incumbent,Incumbent_margin,Sabato,Weird
Alabama,01,House,Barry Moore,Tom Holmes,n/a,TRUE,,Safe R,
Alabama,02,House,"Dick Brewbaker /
Caroleene Dobson","Anthony Daniels /
Shomari Figures",n/a,FALSE,,Likely D,
Alabama,03,House,Mike Rogers,n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Alabama,04,House,Robert Aderholt,n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Alabama,05,House,Dale Strong,n/a,Unopposed,TRUE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
Alabama,06,House,Gary Palmer,Elizabeth Anderson,n/a,TRUE,,Safe R,
Alabama,07,House,Christian Horn,Terri Sewell,n/a,TRUE,,Safe D,
Alaska,at-large,House,"Nick Begich III /
Nancy Dahlstrom",Mary Peltola,n/a,TRUE,,Lean D,We are not predicting this race since Alaska uses a ranked choice voting system.
Arizona,01,House,"David Schweikert /
Paul Burton","Andrei Cherny /
Marlene Galán-Woods /
Robert Glasgow
Andrew Horne /
Kurt Kroemer /
Cody Newman /
Conor O'Callaghan /
Amish Shah /
John Williamson","Bryce Beckstrom /
Sarah Wharton",TRUE,,Tossup,
Arizona,02,House,Eli Crane,Jonathan Nez,David Bies,TRUE,,Safe R,
Arizona,03,House,"Jeff Zink /
Jesus Mendoza","Yassamin Ansari /
Héctor Jaramillo /
Raquel Terán /
Duane Wooten",Candace Cunningham,FALSE,,Safe D,
Arizona,04,House,"Kelly Cooper /
Dave Giles /
Zuhdi Jasser /
Jerone Davison",Greg Stanton,n/a,TRUE,,Safe D,
Arizona,05,House,"Andy Biggs /
Casey Michel",Katrina Schaffner,"Clint Smith /
Evan Olson",TRUE,,Safe R,
Arizona,06,House,"Juan Ciscomani /
Kathleen Winn","Kirsten Engel /
Vieri Tenuta /
Jack O'Donnell",n/a,TRUE,,Lean R,
Arizona,07,House,Daniel Butierez,Raúl Grijalva,n/a,TRUE,,Safe D,
Arizona,08,House,"Trent Franks /
Isiah Gallegos /
Abraham Hamadeh /
Anthony Kern /
Blake Masters /
Ben Toma","Bernadette Greene-Placentia /
Marc Lewis /
Mark Thompson /
Greg Whitten","Jacob Chansley /
Jeremy Spreitzer",FALSE,,Safe R,
Arizona,09,House,Paul Gosar,"Nick Blair /
Brandon Donnelly /
Quacy Smith",n/a,TRUE,,Safe R,
Arkansas,01,House,Rick Crawford,Rodney Govens,n/a,TRUE,,Safe R,
Arkansas,02,House,French Hill,Marcus Jones,n/a,TRUE,,Safe R,
Arkansas,03,House,Steve Womack,Caitlin Draper,n/a,TRUE,,Safe R,
Arkansas,04,House,Bruce Westerman,Risie Howard,n/a,TRUE,,Safe R,
California,01,House,Doug LaMalfa,Rose Yee,n/a,TRUE,,Safe R,
California,02,House,Chris Coulombe,Jared Huffman,n/a,TRUE,,Safe D,
California,03,House,Kevin Kiley,Jessica Morse,n/a,TRUE,,Likely R,
California,04,House,John Munn,Mike Thompson,n/a,TRUE,,Safe D,
California,05,House,Tom McClintock,Mike Barkley,n/a,TRUE,,Safe R,
California,06,House,Chris Bish,Ami Bera,n/a,TRUE,,Safe D,
California,07,House,Tom Silva,Doris Matsui,n/a,TRUE,,Safe D,
California,08,House,Rudy Recile,John Garamendi,n/a,TRUE,,Safe D,
California,09,House,Kevin Lincoln,Josh Harder,n/a,TRUE,,Likely D,
California,10,House,Katherine Piccinini,Mark DeSaulnier,n/a,TRUE,,Safe D,
California,11,House,Bruce Lou,Nancy Pelosi,n/a,TRUE,,Safe D,
California ,12,House,n/a,"Lateefah Simon /
Jennifer Tran",n/a,FALSE,,Safe D,We are not predicting this race since there is no Republican candidate.
California,13,House,John Duarte,Adam Gray,n/a,TRUE,,Tossup,
California,14,House,Vin Kruttiventi,Eric Swalwell,n/a,TRUE,,Safe D,
California,15,House,Anna Cheng Kramer,Kevin Mullin,n/a,TRUE,,Safe D,
California,16,House,n/a,"
Sam Liccardo /
Evan Low /
Joe Simitian",n/a,FALSE,,Safe D,We are not predicting this race since there is no Republican candidate.
California,17,House,Anita Chen,Ro Khanna,n/a,TRUE,,Safe D,
California,18,House,Peter Hernandez,Zoe Lofgren,n/a,TRUE,,Safe D,
California,19,House,Jason Anderson,Jimmy Panetta,n/a,TRUE,,Safe D,
California,20,House,"Mike Boudreaux /
Vince Fong",n/a,n/a,FALSE,,Safe R,We are not predicting this race since there is no Democratic candidate in this election.
