,state,district,year,pvi,pvi_correct,black_pct,real_pvi
6727,AK,0,2002,-17.43640984,,,-17.43640984
6728,AK,0,2004,-17.43640984,,,-17.43640984
6729,AK,0,2006,-13.55975982,,,-13.55975982
6730,AK,0,2008,-13.55975982,,,-13.55975982
6731,AK,0,2010,-14.04046584,,,-14.04046584
6732,AK,0,2012,-14.04046584,,,-14.04046584
6733,AK,0,2014,-10.65323547,,,-10.65323547
6734,AK,0,2016,-10.65323547,,,-10.65323547
6735,AK,0,2018,-9.44909522,,,-9.44909522
6736,AK,0,2020,-9.44909522,,,-9.44909522
6737,AK,0,2022,-8.041350621,,,-8.041350621
6738,AK,0,2024,-8.041350621,,,-8.041350621
112,AK,1,2024,-8.02,,,-8.02
99,AK,1,1998,-12.92,,,-12.92
100,AK,1,2000,-12.92,,,-12.92
101,AK,1,2002,-18.2,,,-18.2
102,AK,1,2004,-18.2,,,-18.2
103,AK,1,2006,-13.54,,,-13.54
104,AK,1,2008,-13.54,,,-13.54
105,AK,1,2010,-14.06,,,-14.06
106,AK,1,2012,-14.06,,,-14.06
107,AK,1,2014,-10.65,,,-10.65
108,AK,1,2016,-10.65,,,-10.65
109,AK,1,2018,-9.44,,,-9.44
110,AK,1,2020,-9.44,,,-9.44
111,AK,1,2022,-8.02,,,-8.02
6027,AL,0,1998,-8.155328476,,,-8.155328476
6028,AL,0,2000,-8.155328476,,,-8.155328476
6127,AL,0,2002,-7.999186874,,,-7.999186874
6128,AL,0,2004,-7.999186874,,,-7.999186874
6227,AL,0,2006,-10.72552105,,,-10.72552105
6228,AL,0,2008,-10.72552105,,,-10.72552105
6327,AL,0,2010,-13.82792631,,,-13.82792631
6328,AL,0,2012,-13.82792631,,,-13.82792631
6427,AL,0,2014,-13.53546847,,,-13.53546847
6428,AL,0,2016,-13.53546847,,,-13.53546847
6527,AL,0,2018,-14.9156964,,,-14.9156964
6528,AL,0,2020,-14.9156964,,,-14.9156964
6627,AL,0,2022,-15.27509881,,,-15.27509881
6628,AL,0,2024,-15.27509881,,,-15.27509881
1,AL,1,1998,-12.33,,,-12.33
2,AL,1,2000,-12.33,,,-12.33
3,AL,1,2002,-11.99,,,-11.99
4,AL,1,2004,-11.99,,,-11.99
5,AL,1,2006,-13.14,,,-13.14
6,AL,1,2008,-13.14,,,-13.14
7,AL,1,2010,-14.66,,,-14.66
8,AL,1,2012,-14.63,,,-14.63
9,AL,1,2014,-14.46,,,-14.46
10,AL,1,2016,-14.46,,,-14.46
11,AL,1,2018,-15.72,,,-15.72
12,AL,1,2020,-15.72,,,-15.72
13,AL,1,2022,-16.47,,,-16.47
14,AL,1,2024,-16.47,-28.00,0.1625,-28.00
15,AL,2,1998,-14.36,,,-14.36
16,AL,2,2000,-14.36,,,-14.36
17,AL,2,2002,-12.16,,,-12.16
18,AL,2,2004,-12.16,,,-12.16
19,AL,2,2006,-14.84,,,-14.84
20,AL,2,2008,-14.84,,,-14.84
21,AL,2,2010,-16.38,,,-16.38
22,AL,2,2012,-18.21,,,-18.21
23,AL,2,2014,-16.06,,,-16.06
24,AL,2,2016,-16.06,,,-16.06
25,AL,2,2018,-16.88,,,-16.88
26,AL,2,2020,-16.88,,,-16.88
27,AL,2,2022,-17.32,,,-17.32
28,AL,2,2024,-17.32,4.27,0.4869,4.27
29,AL,3,1998,-7.36,,,-7.36
30,AL,3,2000,-7.36,,,-7.36
31,AL,3,2002,-2.81,,,-2.81
32,AL,3,2004,-2.81,,,-2.81
33,AL,3,2006,-6.21,,,-6.21
34,AL,3,2008,-6.21,,,-6.21
35,AL,3,2010,-9.35,,,-9.35
36,AL,3,2012,-15.91,,,-15.91
37,AL,3,2014,-15.34,,,-15.34
38,AL,3,2016,-15.34,,,-15.34
39,AL,3,2018,-17.32,,,-17.32
40,AL,3,2020,-17.32,,,-17.32
41,AL,3,2022,-19.36,,,-19.36
42,AL,3,2024,-19.36,-22.69,0.2070,-22.69
43,AL,4,1998,-6.01,,,-6.01
44,AL,4,2000,-6.01,,,-6.01
45,AL,4,2002,-12.14,,,-12.14
46,AL,4,2004,-12.14,,,-12.14
47,AL,4,2006,-18.4,,,-18.4
48,AL,4,2008,-18.4,,,-18.4
49,AL,4,2010,-28.39,,,-28.39
