Politician,State,Position,Year,Type of Scandal,What Happened,Comeback?
Jamaal Bowman,New York,Representative,2023,Pulling fire alarm,TBD,N/A
Jeff Duncan,South Carolina,Representative,2023,Adultery,TBD,N/A
Bob Menendez,New Jersey,Senator,2023,Bribery,TBD,N/A
Lauren Boebert,Colorado,Representative,2023,Disorderly behavior,TBD,N/A
George Santos,New York,Representative,2023,"Sexual harassment, theft",TBD,N/A
Beth Wood,North Carolina,Auditor,2023,Hit and run,TBD,N/A
Joe Biden,N/A,President,2023,Mishandling of documents,TBD,N/A
Alexandria Ocasio-Cortez,New York,Representative,2022,Unknown,TBD,N/A
Kai Kahele,Hawaii,Representative,2022,"Ethics, misuse of official resources",Lost bid for governor,None
Kristi Noem,South Dakota,Governor,2022,"Conflict of interest, misuse of funds",Won reelection,N/A
Vicente Gonzalez,Texas,Representative,2022,Tax fraud,Won reelection,N/A
William Timmons,South Carolina,Representative,2022,"Adultery, abuse of power",Won reelection,N/A
Raphael Warnock,Georgia,Senator,2022,Campaign finance,Won reelection,N/A
Kathy McGuiness,Delaware,Auditor,2022,Corruption,Lost reelection,None
Ronny Jackson,Texas,Representative,2022,Misuse of funds,Won reelection,N/A
John Rutherford,Florida,Representative,2022,Nondisclosure,Won reelection,N/A
Pat Fallon,Texas,Representative,2022,Nondisclosure,Won reelection,N/A
Anthony Brown,Maryland,Representative,2022,Campaign finance,Won bid for AG,N/A
Madison Cawthorn,North Carolina,Representative,2022,Misuse of funds,Lost reelection,None
Madison Cawthorn,North Carolina,Representative,2022,"Improper gifts, adultery",Lost reelection,None
Madison Cawthorn,North Carolina,Representative,2022,Insider trading,Lost reelection,None
Madison Cawthorn,North Carolina,Representative,2022,Driving with revoked license,Lost reelection,None
Tom Suozzi,New York,Representative,2022,???,Lost bid for governor,None
Brian Benjamin,New York,Lieutenant Governor,2022,Campaign finance,Resigned,None
Van Taylor,Texas,Representative,2022,Adultery,Retired,None
Henry Cuellar,Texas,Representative,2022,Corruption,Won reelection,N/A
Marie Newman,Illinois,Representative,2021,Bribery,Lost reelection,None
Jeff Fortenberry,Nebraska,Representative,2021,"Campaign finance, lying to the FBI",Resigned,None
Fiona Ma,California,Treasurer,2021,Sexual harassment,Won reelection,N/A
Mike Hunter,Oklahoma,Attorney General,2021,Adultery,Resigned,None
Marjorie Taylor Greene,Georgia,Representative,2021,Tax fraud,Won reelection,N/A
Doug Lamborn,Colorado,Representative,2021,Misuse of resources,Won reelection,N/A
Jeff Landry,Louisiana,Attorney General,2021,Sexual harassment coverup,TBD,N/A
John Merrill,Alabama,Secretary of State,2021,Adultery,Was term-limited out,None
Matt Gaetz,Florida,Representative,2021,"Sex with underage girl, misuse of funds, drug use, prostitution, corruption, obstruction of justice",Won reelection,N/A
Madison Cawthorn,North Carolina,Representative,2021,Weapons possession,Lost reelection,None
Tom Reed,New York,Representative,2021,Sexual harassment,Retired,None
Tom Malinowski,New Jersey,Representative,2021,Nondisclosure,Lost reelection,None
Ronny Jackson,Texas,Representative,2021,Sexual harassment,Won reelection,N/A
Andrew Cuomo,New York,Governor,2021,"Sexual harassment, sexual assault (groping)",Resigned,None
Andrew Cuomo,New York,Governor,2020,Public-records coverup,Resigned,None
Jim Hagedorn,Minnesota,Representative,2020,Misuse of funds,Died in office,N/A
Jason Ravnsborg,South Dakota,Attorney General,2020,Manslaughter,Removed,None
Alex Mooney,West Virginia,Representative,2020,Misuse of funds,Won reelection,N/A
Mike Kelly,Pennsylvania,Representative,2020,Insider trading,Won reelection,N/A
Sanford Bishop,Georgia,Representative,2020,Misuse of funds,Won reelection,N/A
Steve Watkins,Kansas,Representative,2020,Election fraud,Lost reelection,None
Steven Horsford,Nevada,Representative,2020,Adultery,Won reelection,N/A
Matt Gaetz,Florida,Representative,2020,Conflict of interest,Won reelection,N/A
Donna Shalala,Florida,Representative,2020,Nondisclosure,Lost reelection,None
Steven Palazzo,Mississippi,Representative,2020,Misuse of funds,"Won reelection, then lost reelection",N/A
Kelly Loeffler,Georgia,Senator,2020,Insider trading,Lost bid for full term,None
Richard Burr,North Carolina,Senator,2020,Insider trading,Announced retirement before scandal,None
Michelle Lujan Grisham,New Mexico,Governor,2019,Sexual harassment,Won reelection,N/A
Bill Huizenga,Michigan,Representative,2019,Misuse of funds,Won reelection,N/A
Alcee Hastings,Florida,Representative,2019,Inappropriate relationship with staffer,Won reelection,N/A
Eric Holcomb,Indiana,Governor,2019,Abuse of power,Won reelection,N/A
Katie Hill,California,Representative,2019,Adultery (with staffer),Resigned,None
Ilhan Omar,Minnesota,Representative,2019,"Adultery, campaign finance",Won reelection,N/A
Jim Beck,Georgia,Insurance Commissioner,2019,Fraud,Removed,None
Matt Gaetz,Florida,Representative,2019,Witness intimidation,Won reelection,N/A
JB Pritzker,Illinois,Governor,2019,Tax fraud,Won reelection,N/A
Rashida Tlaib,Michigan,Representative,2019,Campaign finance,Won reelection,N/A
Mark Herring,Virginia,Attorney General,2019,Blackface,Lost reelection,None
Justin Fairfax,Virginia,Lieutenant Governor,2019,Sexual assault (rape),Lost bid for governor,None
