poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,politician_id,politician,yes,no,alternate_answers
88170,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,9/11/24,9/13/24,,"",,209488,1755,a,,a,,9/14/24 19:38,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,,https://www.scribd.com/document/769207331/Yahoo-News-YouGov-poll-9-14,"",,,42,Joe Biden,38.0,57.0,5.0
88170,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,9/11/24,9/13/24,,"",,209489,1176,rv,,rv,,9/14/24 19:38,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,,https://www.scribd.com/document/769207331/Yahoo-News-YouGov-poll-9-14,"",,,42,Joe Biden,42.0,56.0,2.0
88170,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,9/11/24,9/13/24,,"",,209490,1089,lv,,lv,,9/14/24 19:38,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,https://www.yahoo.com/news/new-yahoo-newsyougov-poll-after-debate-harris-surges-to-5-point-lead-over-trump-among-registered-voters-in-head-to-head-matchup-122213811.html,,https://www.scribd.com/document/769207331/Yahoo-News-YouGov-poll-9-14,"",,,42,Joe Biden,43.0,55.0,1.0
88157,1562,Redfield & Wilton Strategies,"","",Redfield & Wilton Strategies,562,Redfield & Wilton Strategies,1.8,0.4,Online Panel,9.0,,9/12/24,9/12/24,,"",,209310,2500,rv,,rv,,9/13/24 12:51,"",https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-12-september-2024/,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-12-september-2024/,,,"",,,42,Joe Biden,41.0,44.0,15.0
88174,1528,AtlasIntel,"","",AtlasIntel,546,AtlasIntel,2.7,-0.8,,6.0,,9/11/24,9/12/24,,"",,209379,1775,lv,,lv,,9/14/24 19:17,"",https://www.atlasintel.org/poll/usa-national-2024-09-14,https://www.atlasintel.org/poll/usa-national-2024-09-14,,https://projects.fivethirtyeight.com/polls/20240914_US_AtlasIntel.pdf,"",,,42,Joe Biden,37.6,55.5,6.9
88176,1842,Global Strategy Group/North Star Opinion Research,"2054,2055",Financial Times | U. Michigan Ross School of Business,Global Strategy Group/North Star Opinion Research,822,Global Strategy Group/North Star Opinion Research,,,Online Panel,3.5,,9/11/24,9/12/24,,"",,209509,1002,rv,,rv,,9/15/24 12:58,"",https://www.ft.com/content/5f68cc51-f608-4fab-bfa3-8a9187236116,https://www.ft.com/content/5f68cc51-f608-4fab-bfa3-8a9187236116,https://globalstrategygroup.app.box.com/s/0zodxpr2qs8wo3rqvjxlkg56iq4zr447,,"",false,,42,Joe Biden,40.0,58.0,2.0
88130,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,9/8/24,9/10/24,,"",,209122,1626,a,,a,,9/11/24 09:45,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_zfe6xV0.pdf,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_zfe6xV0.pdf,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,"",,,42,Joe Biden,39.0,57.0,4.0
88130,568,YouGov,352,Economist,YouGov,391,YouGov,3.0,-1.1,Online Panel,9.0,,9/8/24,9/10/24,,"",,209123,1464,rv,,rv,,9/11/24 09:45,"",https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,,,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_k1paNHZ.pdf,"",,,42,Joe Biden,41.0,57.0,2.0
88084,1709,Big Village,"","",Big Village,37,Big Village,1.2,1.7,Online Panel,9.0,,9/6/24,9/8/24,,"",,208276,2028,a,,a,,9/9/24 20:23,"",https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-09.06.24.pdf,,,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-09.06.24.pdf,"",false,,42,Joe Biden,39.5,53.7,6.8
88084,1709,Big Village,"","",Big Village,37,Big Village,1.2,1.7,Online Panel,9.0,,9/6/24,9/8/24,,"",,208277,1722,rv,,rv,,9/9/24 20:23,"",https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-09.06.24.pdf,,,https://survey.mrxsurveys.com/orc/pollingresults/Big-Village-Political-Poll-09.06.24.pdf,"",false,,42,Joe Biden,42.9,52.8,4.3
