"","Geography","County","State","Total Population","Percent one race","Percent White alone","Percent Black alone","Percent Native American alone","Percent Asian alone","Percent Pacific Islander alone","Percent Other alone","Percent multiracial","Percent Hispanic or Latino","Estimated Median Household Income","Percent high school graduate or higher 25 years and over","Percent bachelor's degree or higher 25 years and over","rank"
"1","0500000US01001","Autauga","Alabama",58805,"94.63%","71.69%","19.46%","0.37%","1.50%","0.06%","1.55%","5.37%","3.17%",68315,"90.4","29.6",24
"2","0500000US01003","Baldwin","Alabama",231767,"93.52%","81.72%","7.86%","0.68%","0.89%","0.06%","2.30%","6.48%","4.84%",71039,"91.6","32.6",4
"3","0500000US01005","Barbour","Alabama",25223,"97.22%","44.87%","47.31%","0.46%","0.46%","0.00%","4.12%","2.78%","4.77%",39712,"76.5","11.9",40
"4","0500000US01007","Bibb","Alabama",22293,"96.60%","74.26%","19.80%","0.27%","0.14%","0.04%","2.09%","3.40%","2.92%",50669,"78.9","10.9",44
"5","0500000US01009","Blount","Alabama",59134,"93.82%","85.67%","1.43%","0.57%","0.30%","0.04%","5.80%","6.18%","9.67%",57440,"81.8","14.7",23
"6","0500000US01011","Bullock","Alabama",10357,"97.61%","22.40%","71.41%","0.70%","0.09%","0.10%","2.92%","2.39%","8.76%",36136,"73.4","9.4",64
"7","0500000US01013","Butler","Alabama",19051,"96.92%","51.19%","44.25%","0.15%","0.75%","0.03%","0.55%","3.08%","1.69%",44429,"87.6","13.0",50
"8","0500000US01015","Calhoun","Alabama",116441,"94.82%","69.21%","21.95%","0.42%","1.02%","0.10%","2.12%","5.18%","4.07%",54339,"85.1","19.2",10
"9","0500000US01017","Chambers","Alabama",34772,"96.52%","54.21%","38.86%","0.30%","1.15%","0.04%","1.96%","3.48%","3.25%",48805,"83.5","12.7",34
"10","0500000US01019","Cherokee","Alabama",24971,"96.32%","90.93%","3.95%","0.44%","0.22%","0.00%","0.76%","3.68%","1.92%",46621,"81.9","14.6",41
"11","0500000US01021","Chilton","Alabama",45014,"95.55%","78.92%","9.03%","0.75%","0.40%","0.01%","6.42%","4.45%","8.14%",62471,"82.2","14.0",29
"12","0500000US01023","Choctaw","Alabama",12665,"97.95%","55.85%","41.31%","0.24%","0.17%","0.00%","0.37%","2.05%","1.13%",43299,"82.4","13.0",59
"13","0500000US01025","Clarke","Alabama",23087,"97.61%","52.10%","44.42%","0.32%","0.41%","0.00%","0.36%","2.39%","1.45%",47549,"81.4","13.8",43
"14","0500000US01027","Clay","Alabama",14236,"95.82%","79.90%","13.79%","0.39%","0.34%","0.03%","1.37%","4.18%","3.07%",48074,"83.3","12.8",56
"15","0500000US01029","Cleburne","Alabama",15056,"96.24%","91.78%","3.10%","0.35%","0.14%","0.01%","0.86%","3.76%","2.66%",51553,"82.5","16.5",54
"16","0500000US01031","Coffee","Alabama",53465,"92.32%","69.35%","16.38%","1.20%","1.70%","0.11%","3.57%","7.68%","8.42%",62199,"86.6","21.6",26
"17","0500000US01033","Colbert","Alabama",57227,"95.29%","76.24%","16.23%","0.47%","0.75%","0.02%","1.58%","4.71%","3.21%",56149,"86.4","18.0",25
"18","0500000US01035","Conecuh","Alabama",11597,"96.82%","50.98%","44.01%","0.62%","0.34%","0.01%","0.85%","3.18%","0.69%",39888,"89.4","13.3",61
"19","0500000US01037","Coosa","Alabama",10387,"96.59%","65.70%","28.96%","0.30%","0.08%","0.00%","1.56%","3.41%","2.73%",52279,"83.5","10.6",63
"20","0500000US01039","Covington","Alabama",37570,"96.16%","82.19%","12.26%","0.39%","0.64%","0.00%","0.68%","3.84%","1.99%",48772,"85.8","16.3",32
"21","0500000US01041","Crenshaw","Alabama",13194,"96.37%","71.15%","23.52%","0.47%","0.63%","0.02%","0.58%","3.63%","2.54%",48557,"82.1","17.2",58
"22","0500000US01043","Cullman","Alabama",87866,"94.70%","90.07%","1.07%","0.46%","0.59%","0.07%","2.43%","5.30%","4.62%",58119,"84.6","18.3",18
"23","0500000US01045","Dale","Alabama",49326,"93.07%","67.77%","20.76%","0.55%","1.36%","0.11%","2.52%","6.93%","7.03%",52813,"85.7","19.2",28
"24","0500000US01047","Dallas","Alabama",38462,"97.90%","27.06%","69.94%","0.17%","0.38%","0.04%","0.31%","2.10%","1.12%",37180,"85.3","15.7",31
"25","0500000US01049","DeKalb","Alabama",71608,"93.43%","78.79%","1.46%","2.78%","0.35%","0.03%","10.01%","6.57%","15.39%",47920,"77.7","14.1",20
"26","0500000US01051","Elmore","Alabama",87977,"95.18%","71.77%","20.70%","0.38%","0.77%","0.04%","1.53%","4.82%","3.11%",73258,"88.5","24.2",17
"27","0500000US01053","Escambia","Alabama",36757,"95.62%","60.40%","29.90%","4.19%","0.31%","0.06%","0.76%","4.38%","2.56%",41153,"82.3","12.6",33
"28","0500000US01055","Etowah","Alabama",103436,"94.92%","75.97%","14.64%","0.71%","0.90%","0.05%","2.64%","5.08%","4.41%",52177,"86.1","17.7",13
"29","0500000US01057","Fayette","Alabama",16321,"96.04%","83.73%","10.64%","0.44%","0.31%","0.04%","0.88%","3.96%","0.37%",45650,"83.7","13.0",52
"30","0500000US01059","Franklin","Alabama",32113,"95.04%","75.77%","3.63%","2.03%","0.21%","0.03%","13.37%","4.96%","18.35%",47359,"80.1","14.8",37
"31","0500000US01061","Geneva","Alabama",26659,"94.30%","82.82%","8.41%","0.68%","0.33%","0.03%","2.04%","5.70%","4.45%",47608,"83.4","13.9",39
"32","0500000US01063","Greene","Alabama",7730,"98.21%","16.83%","80.80%","0.06%","0.09%","0.00%","0.43%","1.79%","0.31%",32796,"81.9","16.7",67
"33","0500000US01065","Hale","Alabama",14785,"97.94%","40.57%","56.39%","0.26%","0.17%","0.10%","0.45%","2.06%","0.17%",35851,"80.6","16.4",55
"34","0500000US01067","Henry","Alabama",17146,"96.02%","69.33%","24.78%","0.29%","0.43%","0.02%","1.17%","3.98%","2.74%",58395,"81.5","21.0",51
"35","0500000US01069","Houston","Alabama",107202,"94.78%","64.61%","26.50%","0.46%","1.20%","0.06%","1.96%","5.22%","3.59%",55064,"87.6","22.5",11
"36","0500000US01071","Jackson","Alabama",52579,"93.24%","86.50%","3.11%","1.46%","0.41%","0.01%","1.75%","6.76%","3.20%",46748,"82.0","16.2",27
"37","0500000US01073","Jefferson","Alabama",674721,"95.71%","48.85%","41.70%","0.34%","1.94%","0.05%","2.83%","4.29%","4.14%",63595,"91.1","35.6",1
"38","0500000US01075","Lamar","Alabama",13972,"96.84%","85.61%","10.20%","0.25%","0.04%","0.04%","0.69%","3.16%","0.54%",49565,"82.1","10.2",57
"39","0500000US01077","Lauderdale","Alabama",93564,"95.24%","82.45%","9.88%","0.39%","0.82%","0.03%","1.66%","4.76%","3.00%",56081,"88.8","25.8",15
"40","0500000US01079","Lawrence","Alabama",33073,"91.31%","75.33%","9.99%","4.38%","0.26%","0.02%","1.32%","8.69%","2.51%",54786,"82.7","15.8",35
"41","0500000US01081","Lee","Alabama",174241,"94.71%","64.08%","22.71%","0.41%","4.92%","0.07%","2.52%","5.29%","3.89%",59288,"91.7","40.2",8
"42","0500000US01083","Limestone","Alabama",103570,"93.55%","74.41%","12.85%","0.68%","1.80%","0.07%","3.73%","6.45%","6.36%",80146,"87.3","29.5",12
"43","0500000US01085","Lowndes","Alabama",10311,"97.82%","27.33%","69.75%","0.16%","0.15%","0.05%","0.38%","2.18%","0.18%",33125,"83.3","16.3",65
"44","0500000US01087","Macon","Alabama",19532,"97.44%","16.65%","79.05%","0.25%","0.38%","0.02%","1.09%","2.56%","2.32%",41206,"82.7","20.6",47
"45","0500000US01089","Madison","Alabama",388153,"92.43%","62.48%","23.72%","0.77%","2.65%","0.12%","2.69%","7.57%","5.31%",78058,"92.2","45.1",3
"46","0500000US01091","Marengo","Alabama",19323,"97.81%","43.62%","52.72%","0.05%","0.28%","0.02%","1.13%","2.19%","2.80%",42975,"89.1","22.0",48
"47","0500000US01093","Marion","Alabama",29341,"95.53%","89.68%","3.77%","0.36%","0.26%","0.05%","1.41%","4.47%","2.69%",49743,"80.6","11.8",38
"48","0500000US01095","Marshall","Alabama",97612,"93.31%","78.81%","2.49%","1.43%","0.62%","0.14%","9.82%","6.69%","15.11%",58272,"84.4","21.4",14
"49","0500000US01097","Mobile","Alabama",414809,"95.15%","55.34%","35.26%","0.98%","2.07%","0.06%","1.45%","4.85%","3.03%",55352,"88.1","24.2",2
"50","0500000US01099","Monroe","Alabama",19772,"96.85%","52.55%","41.97%","1.46%","0.45%","0.02%","0.40%","3.15%","0.22%",39965,"83.7","13.5",46
"51","0500000US01101","Montgomery","Alabama",228954,"96.42%","32.79%","56.98%","0.35%","3.49%","0.06%","2.74%","3.58%","3.75%",56707,"88.0","33.7",5
"52","0500000US01103","Morgan","Alabama",123421,"93.32%","72.81%","12.52%","0.77%","0.69%","0.07%","6.46%","6.68%","8.79%",61588,"85.2","23.8",9
