year,state,district,office_type,open_seat,incumbent_differential,margin,special,absenteeexcusereq,pollhours,avgpollhours,minpollhours,regdeadlines,voteridlaws,novoterid,noallmailvote,noearlyvote,nofelonreg,nofelonsregafterincar,nonstrictid,nonstrictphoto,nopollplacereg,nopr,nosamedayreg,nostateholiday,pr16,pr17,pr175,pr60,pr90,strictid,strictphoto,covi_num,final_rating,prev_dem_gen_tp,prev_gen_margin,weighted_genpoll,weighted_genpoll_lower,weighted_genpoll_upper,unweighted_genpoll,mean_specials_differential,pvi,house_chamber_margin,senate_chamber_margin,previous_cci,current_cci,change_cci,previous_gas,current_gas,change_gas,previous_unemployment,current_unemployment,change_unemployment,X,receipts_DEM,receipts_REP,from_committee_transfers_DEM,from_committee_transfers_REP,disbursements_DEM,disbursements_REP,to_committee_transfers_DEM,to_committee_transfers_REP,beginning_cash_DEM,beginning_cash_REP,ending_cash_DEM,ending_cash_REP,candidate_contributions_DEM,candidate_contributions_REP,individual_contributions_DEM,individual_contributions_REP,receipts,from_committee_transfers,disbursements,to_committee_transfers,beginning_cash,ending_cash,candidate_contributions,individual_contributions,unconvinced_pct,phone_unweighted,online_unweighted,num_polls,unweighted_estimate,unweighted_ci_lower,unweighted_ci_upper,weighted_estimate,weighted_ci_lower,weighted_ci_upper,white_pct,black_pct,asian_pct,hispanic_pct,median_income,impoverished_pct,median_age,renting_pct,inflation,isMidterm,genballot_predicted_margin,genballot_predicted_lower,genballot_predicted_upper,specials_predicted_margin,receipts_genballot_interaction,disbursements_genballot_interaction,democrat_in_presidency,gas_democrat_interaction,cci_democrat_interaction,poll_fundamental_agree
2024,AL,1,House,FALSE,0,NA,FALSE,1,8,12,12,15,2,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.278395414,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-16.47,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5235,1980.2250674072,983363.866509518,0,171844.19975136,1442.77895280688,1110155.83899769,0,0,0,296008.944572711,375.99173353569,171084.905629914,1901.61615835446,0,62.9672086152058,530309.750230073,-6.2078825019137,-12.0543423674991,-6.64553154518029,0,-12.5981451382494,-6.12032664461693,7.55066124310534,-9.0380822938065,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.653909034319057,0.257464754047898,0.0164597399221545,NA,31196,0.165043403312196,40.9,0.254846190153707,1.661,FALSE,-37.08092737029715,-38.187622834215574,-35.973214889586096,-25.773333333333326,230.19404017680043,246.4224725638489,TRUE,3.523,79,NA
2024,AL,2,House,TRUE,0,NA,FALSE,1,8,12,12,15,2,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.278395414,Likely D,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-17.32,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5236,521446.560214411,1098435.22288777,0,0,448752.616368245,1071783.19905711,1123.72249220983,0,478.218189450571,0,69839.7436104429,26652.0238306666,17952.7584481005,3229.0876212926,402640.444322457,203209.183525195,-0.745034079113877,0,-0.87060627074992,7.02464903045364,6.16961073249146,0.963342716831056,1.71558474011255,0.683807856406027,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.605168899202593,0.309983211034803,0.0166409899681093,NA,30774,0.17135393185395,39.1,0.283104271367208,1.661,FALSE,-38.78092737029715,-39.88762283421558,-37.6732148895861,-27.47333333333333,28.893112510511482,33.762918554077906,TRUE,3.523,79,NA
2024,AL,6,House,FALSE,0,NA,FALSE,1,8,12,12,15,2,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.278395414,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-18.39,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5240,8595.18543035665,559610.685050939,0,13236.033388766,4899.30090252999,634801.840579944,0,0,0,151142.567447568,3695.88452782666,70461.962962365,52.3112194649402,27422.5648642976,7419.15171868189,344564.744821351,-4.1760612606611,-9.4906956690415,-4.86428203658947,0,-11.9259816875242,-2.94782240363004,-6.2678936377405,-3.83823847469392,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.717419314864597,0.198256111144751,0.0194286454585524,NA,40718,0.0934467574566598,39.8,0.219705493447039,1.661,FALSE,-40.92092737029715,-42.02762283421558,-39.8132148895861,-29.61333333333333,170.8882995414244,199.0509319279188,TRUE,3.523,79,NA
2024,AL,7,House,FALSE,-4.02660527752364,NA,FALSE,1,8,12,12,15,2,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1.278395414,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,14.11,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5241,655854.393980981,2655.68238694157,0,0,413950.301112421,1927.49083746387,0,0,935121.839934127,0,1177025.93280269,728.191549477695,0,0,227411.311493937,1144.46938017663,5.50911697158392,0,5.36978080415259,0,13.7484322810423,7.38820042786122,0,5.29222806010007,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.376451744886688,0.557056698518826,0.012817666288239,NA,25957,0.218143302598304,36.5,0.357006706967119,1.661,FALSE,20.05246735217921,18.94577188826078,21.16017983289026,31.36006138914303,110.47138821202294,107.67735426362844,TRUE,3.523,79,NA
2024,AZ,1,House,FALSE,-1.45102962608074,NA,FALSE,0,7,13,13,29,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.156268895,Toss-up,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-2.01,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5247,2379922.62137333,704946.923486769,4900.4698322489,141366.93091367,962312.750052473,312915.530296915,0,0,277.788720796939,17093.8049953986,1417862.18254032,409125.198185253,67214.2079855337,8.07271905323151,1641815.0766101,271805.767150492,1.21670079051963,-3.36212414062752,1.12340497765645,0,-4.11886169003533,1.24288464936556,9.03619529646636,1.79846903965765,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.712956384250897,0.0361167122821589,0.0402471242225769,NA,50601,0.0909203488459364,43.9,0.321381574009677,1.661,FALSE,-9.611956996377888,-10.718652460296319,-8.504244515666839,1.69563704058593,-11.694875675933666,-10.79812033475066,TRUE,3.523,79,NA
2024,AZ,2,House,FALSE,0.376817617075481,NA,FALSE,0,7,13,13,29,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.156268895,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-6.35,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5248,125897.76708591,1271176.21454058,0,1543.82356265237,52904.8839950272,847649.511600497,0,760.15628784087,0,21394.5493000953,72992.8830908827,444921.25224018,392.334145987051,0,115656.71569498,1243993.70973731,-2.31222567994505,-7.34213173058472,-2.77396996238784,-6.63331843328038,-9.97091252885092,-1.80753319217672,5.97126183979046,-2.37545353583711,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.59162705667276,0.0217684338817794,0.012526508226691,NA,32389,0.174383912248629,41.9,0.263389396709324,1.661,FALSE,-16.464109753221667,-17.570805217140098,-15.356397272510618,-5.156515716257848,38.06873736883289,45.67094591289358,TRUE,3.523,79,NA
2024,AZ,3,House,TRUE,0,NA,FALSE,0,7,13,13,29,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.156268895,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,24.02,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5249,7525663.48709172,11547.5402425045,146072.499475273,0,4374205.10518753,14515.8919547282,0,0,412217.249786073,6168.61972649628,3555125.44359591,9368.88774076885,14647.9390348257,0,7065785.50139658,1860.27737862667,6.47956193024755,11.8918549298166,5.70822857864314,0,4.2020131594939,5.93873913639415,9.59205908635435,8.24244305385933,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.270249039323952,0.0954437191724475,0.0258200024189039,0.646244891263087,35413,0.178524684195337,31,0.427678965954527,1.661,FALSE,43.89907262970285,42.792377165784416,45.0067851104139,55.20666666666667,284.44675978459475,250.58594096080066,TRUE,3.523,79,NA
2024,AZ,4,House,FALSE,3.08385880893659,NA,FALSE,0,7,13,13,29,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.156268895,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,2.27,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5250,497812.871143258,311316.46027415,1672.66738782957,4247.93257665047,207241.813455608,216378.313447535,0,1384.29694689765,10766.38842695,18969.1040896395,301337.4461146,113907.250916254,0,3273.97193922857,350202.841597107,282415.84190387,0.46941603100544,-0.931829861934951,-0.0431396856716682,-7.23273313617761,-0.56641304760582,0.972846913808133,-8.09376775793108,0.215131825110545,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.613710612090274,0.0545276326433143,0.0589373031620351,0.269306217672939,41975,0.108175081548273,34.6,0.421681776070755,1.661,FALSE,3.48293143863944,2.37623597472101,4.59064391935049,14.79052547560326,1.6349438521901931,-0.15025256747887655,TRUE,3.523,79,NA
2024,AZ,5,House,FALSE,-1.71508344861013,NA,FALSE,0,7,13,13,29,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.156268895,NA,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-11.11,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5251,1752.10294331337,291249.346917029,0,4197.81390768038,525.540468540614,234341.004569159,0,0,1220.65970260103,76623.3236998886,2447.22217737378,133531.666047758,0,0,1752.10294331337,268362.784765165,-5.11342057888342,-8.34236350038058,-6.09923138577925,0,-4.13922709764524,-3.99947836503076,0,-5.03158254913127,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.694341523894322,0.0478616460586216,0.06172480480998,0.189463568518758,45804,0.0600505507446182,38.3,0.187244792938214,1.661,FALSE,-28.076010818907278,-29.18270628282571,-26.968298338196227,-16.768416781943458,143.56445149435402,171.24208637415705,TRUE,3.523,79,NA
2024,AZ,6,House,FALSE,-0.765081714055004,NA,FALSE,0,7,13,13,29,3,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0.156268895,Leans R,52.2935779816514,4.58715596330275,-4.14092737029715,-5.24762283421558,-3.0332148895861,-4.59615004262827,7.16666666666667,-2.66,-9,1,61.3,79,17.7,3.376,3.523,0.147,3.7,3.9,0.2,5252,832737.462260038,1110763.67276426,91007.9564718989,202604.611137123,228571.077062176,335139.832410352,0,396.619145260507,421.515410820673,17577.7322117636,604587.900608683,793201.572565672,0,7524.24560440448,678094.818928912,557108.435991411,-0.28808547980863,-0.800310855940116,-0.382701470801777,-5.98393628068719,-3.72939808508858,-0.271530683759527,-8.92585319042092,0.196528279116241,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.672694250123001,0.0334474598522974,0.0306687088863115,0.270873200673376,39623,0.0945192710237111,44.1,0.258044401834962,1.661,FALSE,-10.226009084352153,-11.332704548270584,-9.118296603641104,1.0815849526116654,2.945964733592999,3.9135087170139022,TRUE,3.523,79,NA
