"Candidate identification","Candidate name","Incumbent challenger status","Party affiliation","Total receipts","Total individual contributions","Candidate state","Candidate district","Special election status","Primary election status","Runoff election status","General election status"
"H4AK00123","DUNBAR, FORREST","C","DEM",550,0,"AK","00",NA,NA,NA,NA
"H0AK00097","COX, JOHN R.","C","REP",0,0,"AK","00",NA,NA,NA,NA
"H6AK00045","YOUNG, DONALD E","I","REP",1103561.86,640393.04,"AK","00",NA,NA,NA,NA
"H8AK00116","LEDOUX, GABRIELLE R","C","REP",0,0,"AK","00",NA,NA,NA,NA
"H6AK00235","LINDBECK, STEVE",NA,"DEM",1102309.77,999400.98,"AK",NA,NA,NA,NA,NA
"H4AL01123","BYRNE, BRADLEY ROBERTS","I","REP",1367469.77,491117.77,"AL","01",NA,NA,NA,NA
"H4AL01149","FINCHER, CHAD","C","REP",0,0,"AL","01",NA,NA,NA,NA
"H6AL01060","YOUNG JR, LARRY DEAN","C","REP",178766.88,19766.88,"AL","01",NA,NA,NA,NA
"H6AL02167","MATHIS, NATHAN","C","DEM",36844,0,"AL","02",NA,NA,NA,NA
"H0AL02087","ROBY, MARTHA","I","REP",1404260.12,574878.88,"AL","02",NA,NA,NA,NA
"H6AL02142","GERRITSON, REBECCA (BECKY)","C","REP",206908.19,180871.8,"AL","02",NA,NA,NA,NA
"H6AL02159","ROGERS, ROBERT L","C","REP",25382,0,"AL","02",NA,NA,NA,NA
"H8AL02080","LOVE, JAY K","O","REP",0,0,"AL","02",NA,NA,NA,NA
"H4AL02071","WRIGHT, ERICK","C","IND",0,0,"AL","02",NA,NA,NA,NA
"H4AL03061","SMITH, JESSE TREMAIN","C","DEM",9810,9810,"AL","03",NA,NA,NA,NA
"H8AL03039","TURNHAM, JOSEPH R","C","DEM",0,0,"AL","03",NA,NA,NA,NA
"H2AL03032","ROGERS, MICHAEL DENNIS","I","REP",1139022.37,459627,"AL","03",NA,NA,NA,NA
"H6AL03157","DICHIARA, LARRY","C","REP",64791.68,17718.04,"AL","03",NA,NA,NA,NA
"H6AL04098","ADERHOLT, ROBERT BROWN","I","REP",1441035.62,484207.65,"AL","04",NA,NA,NA,NA
"H6AL04148","NORRIS, PHILLIP","C","REP",3605.76,105,"AL","04",NA,NA,NA,NA
"H0AL05049","CRAMER, ROBERT E ""BUD"" JR",NA,"DEM",25967.41,0,"AL","05",NA,NA,NA,NA
"H6AL05038","FLIPPO, RONNIE GENE","C","DEM",-35771,0,"AL","05",NA,NA,NA,NA
"H6AL05202","BOYD, WILLIE ""WILL"" DR. JR.","C","DEM",61311.93,35546.75,"AL","05",NA,NA,NA,NA
"H0AL05163","BROOKS, MO","I","REP",476225.18,211307,"AL","05",NA,NA,NA,NA
"H4AL05082","BRAY, MARK","C","IND",2.31,0,"AL","05",NA,NA,NA,NA
"H6AL06127","PUTMAN, DAVID","C","DEM",197378.52,8019,"AL","06",NA,NA,NA,NA
"H0AL06088","COOKE, STANLEY KYLE","C","REP",0,0,"AL","06",NA,NA,NA,NA
"H2AL06035","BACHUS, SPENCER REP.","C","REP",2444.41,0,"AL","06",NA,NA,NA,NA
"H2AL06126","BEASON, JASON SCOTT","O","REP",0,0,"AL","06",NA,NA,NA,NA
"H4AL06098","PALMER, GARY","I","REP",1232446.2,931340.52,"AL","06",NA,NA,NA,NA
"H0AL07086","SEWELL, TERRYCINA ANDREA","I","DEM",1630079.97,363610.21,"AL","07",NA,NA,NA,NA
"H0AL07094","HILLIARD, EARL FREDERICK JR","O","DEM",0,0,"AL","07",NA,NA,NA,NA
"H0AR01109","CAUSEY, CHAD","O","DEM",500,500,"AR","01",NA,NA,NA,NA
"H4AR01051","MCPHERSON, JACKIE","C","DEM",8157.69,0,"AR","01",NA,NA,NA,NA
"H0AR01083","CRAWFORD, ERIC ALAN RICK","I","REP",669501.96,261228.63,"AR","01",NA,NA,NA,NA
