date,value
1959-01-01,2318.4
1959-02-01,2325.4
1959-03-01,2338.7
1959-04-01,2353.8
1959-05-01,2366.6
1959-06-01,2374.5
1959-07-01,2370.8
1959-08-01,2356.8
1959-09-01,2357.8
1959-10-01,2359.5
1959-11-01,2376.6
1959-12-01,2399.7
1960-01-01,2404.9
1960-02-01,2405.3
1960-03-01,2408.1
1960-04-01,2417.3
1960-05-01,2422.6
1960-06-01,2424.9
1960-07-01,2428.8
1960-08-01,2423.3
1960-09-01,2426.7
1960-10-01,2435.6
1960-11-01,2425.5
1960-12-01,2414.6
1961-01-01,2437.9
1961-02-01,2448.1
1961-03-01,2458.4
1961-04-01,2463.4
1961-05-01,2483.5
1961-06-01,2509.1
1961-07-01,2517.6
1961-08-01,2517.7
1961-09-01,2519.9
1961-10-01,2546.6
1961-11-01,2570.1
1961-12-01,2585.8
1962-01-01,2579.4
1962-02-01,2590.9
1962-03-01,2608.1
1962-04-01,2619.6
1962-05-01,2621.1
1962-06-01,2621.6
1962-07-01,2633.0
1962-08-01,2635.5
1962-09-01,2636.3
1962-10-01,2649.3
1962-11-01,2656.5
1962-12-01,2669.0
1963-01-01,2688.2
1963-02-01,2672.3
1963-03-01,2683.6
1963-04-01,2694.6
1963-05-01,2705.0
1963-06-01,2718.6
1963-07-01,2721.6
1963-08-01,2732.5
1963-09-01,2752.9
1963-10-01,2768.9
1963-11-01,2774.7
1963-12-01,2797.1
1964-01-01,2806.4
1964-02-01,2815.3
1964-03-01,2882.1
1964-04-01,2897.7
1964-05-01,2912.9
1964-06-01,2922.5
1964-07-01,2936.4
1964-08-01,2949.4
1964-09-01,2961.1
1964-10-01,2960.2
1964-11-01,2979.4
1964-12-01,3008.0
1965-01-01,3013.8
1965-02-01,3014.5
1965-03-01,3024.6
1965-04-01,3027.8
1965-05-01,3061.4
1965-06-01,3065.8
1965-07-01,3097.8
1965-08-01,3113.1
1965-09-01,3194.5
1965-10-01,3178.9
1965-11-01,3201.4
1965-12-01,3214.6
1966-01-01,3216.8
1966-02-01,3230.2
1966-03-01,3242.8
1966-04-01,3230.5
1966-05-01,3235.7
1966-06-01,3249.2
1966-07-01,3260.4
1966-08-01,3277.2
1966-09-01,3296.6
1966-10-01,3307.3
1966-11-01,3322.5
1966-12-01,3319.6
1967-01-01,3353.7
1967-02-01,3360.2
1967-03-01,3385.5
1967-04-01,3384.5
1967-05-01,3391.3
1967-06-01,3403.8
1967-07-01,3417.4
1967-08-01,3429.7
1967-09-01,3429.3
1967-10-01,3434.5
1967-11-01,3455.3
1967-12-01,3461.6
1968-01-01,3480.2
1968-02-01,3505.4
1968-03-01,3538.4
1968-04-01,3550.7
1968-05-01,3565.2
1968-06-01,3581.3
1968-07-01,3573.9
1968-08-01,3578.5
1968-09-01,3578.9
1968-10-01,3591.7
1968-11-01,3605.1
1968-12-01,3617.6
1969-01-01,3611.0
1969-02-01,3611.8
1969-03-01,3618.3
1969-04-01,3613.0
1969-05-01,3654.1
1969-06-01,3679.9
1969-07-01,3705.6
1969-08-01,3728.3
1969-09-01,3736.6
1969-10-01,3745.4
1969-11-01,3751.9
1969-12-01,3758.6
1970-01-01,3778.6
1970-02-01,3790.5
1970-03-01,3805.0
1970-04-01,3846.0
1970-05-01,3830.3
1970-06-01,3838.2
1970-07-01,3892.6
1970-08-01,3905.1
1970-09-01,3900.8
1970-10-01,3888.1
