date,value
1947-01-01,15248.0
1947-04-01,15139.0
1947-07-01,15039.0
1947-10-01,15204.0
1948-01-01,15371.0
1948-04-01,15563.0
1948-07-01,15585.0
1948-10-01,15530.0
1949-01-01,15250.0
1949-04-01,15137.0
1949-07-01,15228.0
1949-10-01,15032.0
1950-01-01,15559.0
1950-04-01,15977.0
1950-07-01,16524.0
1950-10-01,16764.0
1951-01-01,16922.0
1951-04-01,17147.0
1951-07-01,17420.0
1951-10-01,17375.0
1952-01-01,17490.0
1952-04-01,17459.0
1952-07-01,17509.0
1952-10-01,18001.0
1953-01-01,18268.0
1953-04-01,18341.0
1953-07-01,18155.0
1953-10-01,17797.0
1954-01-01,17636.0
1954-04-01,17584.0
1954-07-01,17701.0
1954-10-01,17960.0
1955-01-01,18396.0
1955-04-01,18621.0
1955-07-01,18787.0
1955-10-01,18808.0
1956-01-01,18658.0
1956-04-01,18736.0
1956-07-01,18632.0
1956-10-01,18845.0
1957-01-01,18881.0
1957-04-01,18763.0
1957-07-01,18862.0
1957-10-01,18582.0
1958-01-01,18032.0
1958-04-01,18081.0
1958-07-01,18419.0
1958-10-01,18764.0
1959-01-01,19041.0
1959-04-01,19395.0
1959-07-01,19326.0
1959-10-01,19296.0
1960-01-01,19614.0
1960-04-01,19392.0
1960-07-01,19390.0
1960-10-01,19065.0
1961-01-01,19130.0
1961-04-01,19380.0
1961-07-01,19670.0
1961-10-01,19970.0
1962-01-01,20254.0
1962-04-01,20366.0
1962-07-01,20536.0
1962-10-01,20521.0
1963-01-01,20677.0
1963-04-01,20842.0
1963-07-01,21219.0
1963-10-01,21276.0
1964-01-01,21657.0
1964-04-01,21824.0
1964-07-01,22085.0
1964-10-01,22075.0
1965-01-01,22547.0
1965-04-01,22770.0
1965-07-01,23198.0
1965-10-01,23656.0
1966-01-01,24172.0
1966-04-01,24191.0
1966-07-01,24321.0
1966-10-01,24446.0
1967-01-01,24602.0
1967-04-01,24556.0
1967-07-01,24719.0
1967-10-01,24836.0
1968-01-01,25288.0
1968-04-01,25652.0
1968-07-01,25781.0
1968-10-01,25813.0
1969-01-01,26162.0
1969-04-01,26181.0
1969-07-01,26281.0
1969-10-01,26076.0
1970-01-01,25973.0
1970-04-01,25929.0
1970-07-01,26079.0
1970-10-01,25710.0
1971-01-01,26328.0
1971-04-01,26394.0
1971-07-01,26529.0
1971-10-01,26510.0
1972-01-01,26932.0
1972-04-01,27478.0
1972-07-01,27666.0
1972-10-01,28055.0
1973-01-01,28687.0
1973-04-01,28935.0
1973-07-01,28711.0
1973-10-01,28913.0
1974-01-01,28606.0
1974-04-01,28613.0
1974-07-01,28270.0
1974-10-01,28088.0
1975-01-01,27690.0
1975-04-01,27821.0
1975-07-01,28214.0
1975-10-01,28520.0
1976-01-01,29099.0
1976-04-01,29250.0
1976-07-01,29335.0
1976-10-01,29469.0
1977-01-01,29749.0
1977-04-01,30254.0
1977-07-01,30713.0
1977-10-01,30626.0
1978-01-01,30653.0
1978-04-01,31757.0
1978-07-01,31982.0
1978-10-01,32318.0
1979-01-01,32294.0
1979-04-01,32244.0
1979-07-01,32386.0
1979-10-01,32366.0
1980-01-01,32377.0
1980-04-01,31621.0
1980-07-01,31489.0
1980-10-01,31990.0
1981-01-01,32550.0
1981-04-01,32236.0
1981-07-01,32533.0
1981-10-01,32095.0
1982-01-01,31529.0
1982-04-01,31603.0
1982-07-01,31402.0
1982-10-01,31337.0
1983-01-01,31686.0
1983-04-01,32340.0
1983-07-01,32906.0
1983-10-01,33513.0
1984-01-01,34103.0
1984-04-01,34622.0
1984-07-01,34871.0
1984-10-01,35072.0
1985-01-01,35346.0
1985-04-01,35582.0
1985-07-01,36033.0
1985-10-01,36210.0
1986-01-01,36476.0
1986-04-01,36563.0
1986-07-01,36822.0
1986-10-01,36931.0
1987-01-01,37132.0
1987-04-01,37454.0
1987-07-01,37685.0
1987-10-01,38238.0
1988-01-01,38359.0
1988-04-01,38782.0
1988-07-01,38908.0
1988-10-01,39328.0
1989-01-01,39648.0
1989-04-01,39861.0
1989-07-01,40046.0
1989-10-01,40015.0
1990-01-01,40361.0
1990-04-01,40382.0
1990-07-01,40266.0
1990-10-01,39759.0
1991-01-01,39451.0
1991-04-01,39632.0
1991-07-01,39691.0
1991-10-01,39694.0
1992-01-01,40051.0
1992-04-01,40350.0
1992-07-01,40599.0
1992-10-01,40881.0
1993-01-01,40829.0
1993-04-01,40942.0
1993-07-01,40997.0
1993-10-01,41423.0
1994-01-01,41713.0
1994-04-01,42154.0
1994-07-01,42264.0
1994-10-01,42618.0
1995-01-01,42654.0
1995-04-01,42660.0
1995-07-01,42885.0
1995-10-01,43044.0
1996-01-01,43259.0
1996-04-01,43856.0
1996-07-01,44105.0
1996-10-01,44421.0
1997-01-01,44590.0
1997-04-01,45203.0
1997-07-01,45616.0
1997-10-01,45862.0
1998-01-01,46204.0
1998-04-01,46504.0
1998-07-01,46943.0
1998-10-01,47555.0
1999-01-01,47880.0
1999-04-01,48148.0
1999-07-01,48632.0
1999-10-01,49281.0
2000-01-01,49335.0
2000-04-01,50109.0
2000-07-01,50024.0
2000-10-01,50190.0
2001-01-01,49911.0
2001-04-01,50105.0
2001-07-01,49774.0
2001-10-01,49783.0
2002-01-01,50091.0
2002-04-01,50286.0
2002-07-01,50362.0
2002-10-01,50302.0
2003-01-01,50462.0
2003-04-01,50796.0
2003-07-01,51512.0
2003-10-01,51986.0
2004-01-01,52179.0
2004-04-01,52469.0
2004-07-01,52835.0
2004-10-01,53242.0
2005-01-01,53719.0
2005-04-01,53868.0
2005-07-01,54153.0
2005-10-01,54317.0
2006-01-01,54927.0
2006-04-01,54945.0
2006-07-01,54886.0
2006-10-01,55216.0
2007-01-01,55260.0
2007-04-01,55474.0
2007-07-01,55649.0
2007-10-01,55857.0
2008-01-01,55497.0
2008-04-01,55705.0
2008-07-01,55278.0
2008-10-01,53941.0
2009-01-01,53221.0
2009-04-01,53017.0
2009-07-01,53081.0
2009-10-01,53531.0
2010-01-01,53683.0
2010-04-01,54100.0
2010-07-01,54401.0
2010-10-01,54569.0
2011-01-01,54341.0
2011-04-01,54610.0
2011-07-01,54482.0
2011-10-01,54979.0
2012-01-01,55342.0
2012-04-01,55490.0
2012-07-01,55454.0
2012-10-01,55403.0
2013-01-01,55859.0
2013-04-01,55914.0
2013-07-01,56272.0
2013-10-01,56642.0
2014-01-01,56345.0
2014-04-01,56968.0
2014-07-01,57536.0
2014-10-01,57702.0
2015-01-01,58121.0
2015-04-01,58376.0
2015-07-01,58486.0
2015-10-01,58470.0
2016-01-01,58704.0
2016-04-01,58787.0
2016-07-01,59084.0
2016-10-01,59296.0
2017-01-01,59494.0
2017-04-01,59736.0
2017-07-01,60099.0
2017-10-01,60674.0
2018-01-01,61093.0
2018-04-01,61336.0
2018-07-01,61622.0
2018-10-01,61619.0
2019-01-01,61889.0
2019-04-01,62331.0
2019-07-01,62945.0
2019-10-01,63257.0
2020-01-01,62333.0
2020-04-01,57383.0
2020-07-01,61803.0
2020-10-01,62411.0
2021-01-01,63224.0
2021-04-01,64153.0
2021-07-01,64611.0
2021-10-01,65648.0
2022-01-01,65284.0
2022-04-01,65127.0
2022-07-01,65469.0
2022-10-01,65799.0
2023-01-01,66096.0
2023-04-01,66357.0
2023-07-01,67050.0
2023-10-01,67513.0
2024-01-01,67672.0
