"","year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","special","candidate","party_detailed","writein","mode","candidatevotes","totalvotes","unofficial","version","party_simplified"
"1815",2002,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen","False","JEFF SESSIONS","REPUBLICAN","False","total",792561,1353023,"False",20210114,"REPUBLICAN"
"1816",2002,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen","False","JEFF ALLEN","LIBERTARIAN","False","total",20234,1353023,"False",20210114,"LIBERTARIAN"
"1817",2002,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen","False","","","True","total",1350,1353023,"False",20210114,"OTHER"
"1818",2002,"ALABAMA","AL",1,63,41,"US SENATE","statewide","gen","False","SUSAN PARKER","DEMOCRAT","False","total",538878,1353023,"False",20210114,"DEMOCRAT"
"1819",2002,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen","False","JIM DORE","ALASKAN INDEPENDENCE","False","total",6724,229548,"False",20210114,"OTHER"
"1820",2002,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen","False","TED STEVENS","REPUBLICAN","False","total",179438,229548,"False",20210114,"REPUBLICAN"
"1821",2002,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen","False","","","True","total",291,229548,"False",20210114,"OTHER"
"1822",2002,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen","False","LEONARD KARPINSKI","LIBERTARIAN","False","total",2354,229548,"False",20210114,"LIBERTARIAN"
"1823",2002,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen","False","JIM SYKES","GREEN","False","total",16608,229548,"False",20210114,"OTHER"
"1824",2002,"ALASKA","AK",2,94,81,"US SENATE","statewide","gen","False","FRANK VONDERSAAR","DEMOCRAT","False","total",24133,229548,"False",20210114,"DEMOCRAT"
"1825",2002,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen","False","TIM HUTCHINSON","REPUBLICAN","False","total",370735,804121,"False",20210114,"REPUBLICAN"
"1826",2002,"ARKANSAS","AR",5,71,42,"US SENATE","statewide","gen","False","MARK PRYOR","DEMOCRAT","False","total",433386,804121,"False",20210114,"DEMOCRAT"
"1827",2002,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen","False","DOULGAS ""DAYHORSE"" CAMPBELL","AMERICAN CONSTITUTION","False","total",21547,1416082,"False",20210114,"OTHER"
"1828",2002,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen","False","","","True","total",596,1416082,"False",20210114,"OTHER"
"1829",2002,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen","False","WAYNE ALLARD","REPUBLICAN","False","total",717893,1416082,"False",20210114,"REPUBLICAN"
"1830",2002,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen","False","JOHN HECKMAN","CONCERNS OF PEOPLE","False","total",7140,1416082,"False",20210114,"OTHER"
"1831",2002,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen","False","RICK STANLEY","LIBERTARIAN","False","total",20776,1416082,"False",20210114,"LIBERTARIAN"
"1832",2002,"COLORADO","CO",8,84,62,"US SENATE","statewide","gen","False","TOM STRICKLAND","DEMOCRAT","False","total",648130,1416082,"False",20210114,"DEMOCRAT"
"1833",2002,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen","False","MAURICE BARROS","INDEPENDENT PARTY OF DELAWARE","False","total",996,232314,"False",20210114,"OTHER"
"1834",2002,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen","False","RAYMOND T. BURANELLO","LIBERTARIAN","False","total",922,232314,"False",20210114,"LIBERTARIAN"
"1835",2002,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen","False","JOSEPH R. BIDEN JR.","DEMOCRAT","False","total",135253,232314,"False",20210114,"DEMOCRAT"
"1836",2002,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen","False","RAYMOND J. CLATWORTHY","REPUBLICAN","False","total",94793,232314,"False",20210114,"REPUBLICAN"
"1837",2002,"DELAWARE","DE",10,51,11,"US SENATE","statewide","gen","False","ROBERT E. MATTSON","NATURAL LAW","False","total",350,232314,"False",20210114,"OTHER"
"1838",2002,"GEORGIA","GA",13,58,44,"US SENATE","statewide","gen","False","SAXBY CHAMBLISS","REPUBLICAN","False","total",1071352,2031604,"False",20210114,"REPUBLICAN"
